timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
51.189,1,-0.203210,1.616192,0.040216,0.169988,0.060449,-0.032516,0.983053,19.763910,6.577121,357.358000
51.302,1,-0.202130,1.616007,0.041717,0.170157,0.057738,-0.032031,0.983202,19.773100,6.261499,357.360400
51.413,1,-0.199411,1.615318,0.044172,0.172787,0.060420,-0.033513,0.982533,20.095600,6.551402,357.255000
51.524,1,-0.196865,1.613858,0.047557,0.177890,0.062188,-0.033668,0.981506,20.694640,6.758902,357.306200
51.635,1,-0.195038,1.612793,0.051764,0.181653,0.061343,-0.033324,0.980882,21.127710,6.663188,357.352400
51.746,1,-0.193012,1.610989,0.057180,0.187476,0.060312,-0.033388,0.979847,21.803350,6.535375,357.356900
51.857,1,-0.191989,1.609841,0.061817,0.191743,0.058846,-0.032897,0.979127,22.293660,6.367829,357.407300
51.968,1,-0.192028,1.609173,0.068785,0.194192,0.057416,-0.031454,0.978777,22.566300,6.227961,357.562500
52.080,1,-0.193199,1.608624,0.076284,0.195236,0.055010,-0.031075,0.978719,22.679790,5.943811,357.555900
52.190,1,-0.196186,1.607848,0.091601,0.198315,0.051577,-0.030318,0.978311,23.026390,5.542727,357.579800
52.302,1,-0.201313,1.607093,0.110849,0.200333,0.049249,-0.031131,0.977994,23.260700,5.237053,357.432200
52.413,1,-0.209927,1.605307,0.135309,0.204240,0.053901,-0.034471,0.976828,23.749010,5.719795,357.161600
52.524,1,-0.221759,1.604287,0.161746,0.209580,0.067626,-0.038460,0.974692,24.440880,7.301914,357.064200
52.636,1,-0.232809,1.605119,0.186056,0.213692,0.090040,-0.045042,0.971700,25.049420,9.898364,356.896100
52.747,1,-0.248285,1.604818,0.215445,0.218210,0.125402,-0.050320,0.966502,25.748510,14.166640,357.292900
52.858,1,-0.259174,1.602987,0.236643,0.219485,0.165952,-0.062185,0.959385,26.217520,18.935950,357.030800
52.969,1,-0.270569,1.595474,0.264677,0.220184,0.226925,-0.075390,0.945696,26.786660,26.334290,357.260800
53.080,1,-0.278094,1.582591,0.295163,0.215851,0.254925,-0.074456,0.939616,26.333480,29.911900,358.090100
53.191,1,-0.280163,1.565239,0.328261,0.221834,0.263441,-0.076339,0.935714,27.088590,31.045210,358.327600
53.303,1,-0.267387,1.544111,0.365982,0.228929,0.270915,-0.083176,0.931278,28.129100,31.937350,357.993400
53.414,1,-0.244284,1.520601,0.404434,0.240455,0.281412,-0.091007,0.924504,29.724090,33.282750,357.826200
53.525,1,-0.206394,1.482898,0.457513,0.256726,0.282417,-0.099494,0.918931,31.872080,33.438260,357.445600
53.636,1,-0.175171,1.452087,0.499662,0.268305,0.278474,-0.104688,0.916245,33.365060,32.938750,357.089400
53.747,1,-0.143713,1.414012,0.548906,0.286320,0.270349,-0.106492,0.913013,35.479220,32.095840,357.209500
53.858,1,-0.126366,1.390325,0.581776,0.288323,0.263736,-0.108372,0.914095,35.751540,31.138820,356.747700
53.970,1,-0.110624,1.360608,0.616463,0.298439,0.257445,-0.112210,0.912176,37.029970,30.293330,356.333800
54.081,1,-0.097189,1.336238,0.640799,0.303246,0.258506,-0.112851,0.910209,37.616990,30.510120,356.478400
54.192,1,-0.079920,1.309762,0.660432,0.304836,0.266520,-0.117793,0.906734,37.995430,31.478780,356.280400
54.304,1,-0.057608,1.289603,0.679114,0.302851,0.275633,-0.122333,0.904070,37.954410,32.553800,356.055200
54.415,1,-0.037485,1.283321,0.692554,0.290158,0.285880,-0.124454,0.904761,36.598550,33.668870,355.764000
54.526,1,-0.014884,1.297511,0.706144,0.263855,0.302591,-0.119251,0.908074,33.460980,35.682590,356.089400
54.638,1,-0.000985,1.327298,0.715451,0.239838,0.312578,-0.113674,0.912059,30.567790,36.789630,356.176300
54.749,1,0.017374,1.384581,0.728477,0.198467,0.334332,-0.100850,0.915785,25.527230,39.363240,356.696000
54.861,1,0.032856,1.441345,0.738563,0.153065,0.356349,-0.087795,0.917539,20.087730,41.887240,356.824600
54.972,1,0.045118,1.502193,0.745491,0.101259,0.388930,-0.068039,0.913155,13.759960,45.816140,357.315400
55.084,1,0.050294,1.559078,0.758052,0.051099,0.421551,-0.039557,0.904499,7.226301,49.872800,358.355200
