timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
172.292,1,0.000823,1.627439,0.390046,0.106572,-0.116087,-0.031373,0.987007,11.717720,346.062500,354.921600
172.404,1,0.000408,1.627447,0.390069,0.106018,-0.114219,-0.031414,0.987283,11.663490,346.285200,354.947600
172.516,1,0.000810,1.627924,0.389480,0.104443,-0.112799,-0.032162,0.987590,11.480700,346.455400,354.901600
172.627,1,0.001524,1.629893,0.389253,0.097453,-0.109513,-0.033587,0.988626,10.680510,346.878700,354.876600
172.738,1,0.002336,1.631956,0.388706,0.089350,-0.105944,-0.034588,0.989746,9.760943,347.345700,354.912200
172.849,1,0.003165,1.635743,0.387924,0.073138,-0.103210,-0.035543,0.991330,7.913136,347.769400,355.044000
172.961,1,0.004665,1.639443,0.386847,0.057448,-0.098329,-0.037063,0.992803,6.129784,348.425200,355.102300
173.072,1,0.005649,1.643089,0.385318,0.042751,-0.093680,-0.038840,0.993926,4.456663,349.040400,355.096500
173.183,1,0.006072,1.645995,0.384283,0.029988,-0.089963,-0.040012,0.994689,3.007071,349.535900,355.117500
173.295,1,0.005805,1.647937,0.383870,0.021122,-0.088311,-0.040017,0.995065,2.003869,349.772900,355.214800
173.405,1,0.005058,1.649896,0.383764,0.013200,-0.087806,-0.038893,0.995291,1.114250,349.872200,355.425600
173.517,1,0.004113,1.650818,0.383789,0.009452,-0.088289,-0.037202,0.995355,0.701777,349.835500,355.656600
173.628,1,0.002058,1.651528,0.384675,0.007066,-0.089628,-0.034100,0.995366,0.455725,349.693500,356.034700
173.739,1,0.000305,1.651566,0.385782,0.006845,-0.091079,-0.032053,0.995304,0.446175,349.528500,356.270000
173.850,1,-0.001627,1.652737,0.386926,0.003289,-0.091694,-0.029887,0.995333,0.061090,349.471200,356.554500
173.961,1,-0.002859,1.653229,0.387609,0.001992,-0.093006,-0.029524,0.995226,359.912500,349.324800,356.609700
174.072,1,-0.004593,1.653310,0.388878,0.002286,-0.095364,-0.029358,0.995007,359.939800,349.052500,356.625700
174.183,1,-0.005527,1.652902,0.390024,0.004135,-0.095812,-0.028473,0.994984,0.158833,348.994700,356.706300
174.294,1,-0.006144,1.652354,0.389763,0.005643,-0.095403,-0.029440,0.994987,0.321608,349.036400,356.579600
174.405,1,-0.006463,1.651819,0.389106,0.006951,-0.094270,-0.029790,0.995077,0.470790,349.162000,356.525800
174.516,1,-0.007407,1.650847,0.388167,0.011062,-0.095377,-0.029328,0.994948,0.940721,349.020100,356.532800
174.628,1,-0.010166,1.649805,0.386500,0.015756,-0.099298,-0.029522,0.994495,1.459770,348.550900,356.453000
174.738,1,-0.013538,1.649172,0.384921,0.019778,-0.102206,-0.027972,0.994173,1.925963,348.203200,356.577800
174.849,1,-0.021281,1.648560,0.380916,0.025831,-0.109523,-0.024274,0.993352,2.636656,347.345200,356.908000
174.960,1,-0.030442,1.647822,0.374163,0.031506,-0.118482,-0.022455,0.992202,3.279081,346.295300,357.012900
175.071,1,-0.040909,1.647172,0.364037,0.035704,-0.125125,-0.021286,0.991270,3.753132,345.515300,357.062500
175.182,1,-0.051997,1.645882,0.351616,0.039745,-0.128863,-0.022012,0.990621,4.190358,345.063600,356.904500
175.293,1,-0.061375,1.642862,0.337294,0.043446,-0.131677,-0.022483,0.990085,4.594842,344.719500,356.781600
175.405,1,-0.064797,1.637509,0.318470,0.054117,-0.137742,-0.016641,0.988849,5.879902,343.998500,357.244600
175.516,1,-0.060780,1.637321,0.297591,0.051969,-0.148782,-0.012346,0.987427,5.679116,342.748900,357.705100
175.627,1,-0.046284,1.639234,0.268145,0.039025,-0.158436,-0.010756,0.986539,4.220238,341.681600,358.070000
175.738,1,-0.029185,1.639492,0.245604,0.033349,-0.163115,-0.006496,0.986022,3.649181,341.170300,358.639700
175.848,1,-0.003331,1.639846,0.219180,0.030880,-0.161778,-0.005685,0.986328,3.386742,341.334500,358.782800
175.960,1,0.016512,1.637927,0.200044,0.030783,-0.156882,-0.004648,0.987127,3.400514,341.907100,358.918900
