timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
88.932,1,-0.079890,1.680916,0.059794,-0.000987,-0.044167,0.021862,-0.998784,0.223570,5.059201,357.502100
89.044,1,-0.071461,1.674628,0.061283,-0.029823,-0.089468,0.028441,-0.995137,3.695019,10.179770,357.055100
89.155,1,-0.063054,1.669060,0.062902,-0.054084,-0.127992,0.035824,-0.989651,6.673978,14.546290,356.706400
89.266,1,-0.054406,1.664365,0.065582,-0.071568,-0.159316,0.045814,-0.983564,8.938939,18.095930,356.092500
89.377,1,-0.050298,1.661652,0.068044,-0.082607,-0.169104,0.049276,-0.980893,10.295330,19.202030,355.994300
89.488,1,-0.047259,1.658168,0.073396,-0.096054,-0.170198,0.052445,-0.979314,11.887190,19.290860,355.896500
89.599,1,-0.047060,1.653501,0.080570,-0.114785,-0.158840,0.053807,-0.979132,13.997070,17.929050,355.927900
89.709,1,-0.051251,1.639355,0.094403,-0.171069,-0.117665,0.043199,-0.977253,20.152610,13.251760,357.302900
89.820,1,-0.051241,1.625803,0.107976,-0.221332,-0.087606,0.035625,-0.970602,25.842090,9.871232,358.065900
89.931,1,-0.048396,1.615443,0.121526,-0.259255,-0.061175,0.027503,-0.963477,30.194560,6.885558,358.589400
90.041,1,-0.045531,1.617289,0.133079,-0.252265,-0.010958,0.025295,-0.967266,29.246540,0.554036,357.148500
90.153,1,-0.038241,1.625831,0.141150,-0.218921,0.043012,0.021814,-0.974550,25.139460,354.078900,356.114000
90.264,1,-0.025219,1.632461,0.144918,-0.195592,0.104648,0.008152,-0.975052,22.316230,347.053400,356.477800
90.376,1,-0.008621,1.637799,0.146826,-0.174488,0.175263,-0.005416,-0.968921,19.878620,338.952500,356.911500
90.487,1,0.021184,1.644512,0.149633,-0.142579,0.280442,-0.016246,-0.949083,16.245320,326.657700,357.066500
90.598,1,0.049612,1.647742,0.152196,-0.119474,0.368576,-0.030149,-0.921395,14.027600,316.159000,358.079500
90.709,1,0.089748,1.650683,0.154203,-0.103650,0.478081,-0.037506,-0.871372,12.503410,302.280000,358.019300
90.821,1,0.124222,1.656021,0.151139,-0.098091,0.545104,-0.036607,-0.831805,11.717980,293.247600,357.305000
90.931,1,0.155396,1.677243,0.140151,-0.078955,0.600156,-0.032093,-0.795330,9.445701,285.713700,357.459700
91.043,1,0.180177,1.700732,0.125639,-0.055481,0.652839,-0.023125,-0.755108,6.544962,278.185200,357.835800
91.154,1,0.195425,1.711440,0.110249,-0.030425,0.695259,-0.013655,-0.717986,3.593453,271.801800,358.696800
91.265,1,0.206020,1.706382,0.088611,-0.025831,0.736510,-0.023678,-0.675519,4.001134,265.041200,359.651900
91.376,1,0.209439,1.701429,0.067212,-0.031128,0.766052,-0.038828,-0.640849,5.703755,259.835000,0.119423
91.487,1,0.215881,1.693936,0.035817,-0.050586,0.793524,-0.055712,-0.603869,8.598666,254.485400,359.246900
91.598,1,0.223154,1.691007,0.010750,-0.059174,0.803216,-0.064513,-0.589221,9.983726,252.429100,358.892600
91.708,1,0.238250,1.686790,-0.018417,-0.066898,0.805670,-0.077658,-0.583429,11.723790,251.717400,358.994600
91.820,1,0.255152,1.683177,-0.041994,-0.073830,0.802513,-0.081267,-0.586445,12.534670,252.166300,358.639200
91.931,1,0.273072,1.676607,-0.063763,-0.075378,0.797788,-0.089499,-0.591474,13.413140,253.006200,359.151900
92.042,1,0.291106,1.672337,-0.082359,-0.074144,0.797602,-0.093091,-0.591328,13.661500,253.047300,359.517700
92.152,1,0.304886,1.669827,-0.095489,-0.074298,0.800565,-0.096011,-0.586820,13.941160,252.438100,359.629300
92.264,1,0.313698,1.668889,-0.102488,-0.079650,0.801044,-0.096044,-0.585457,14.307970,252.211200,359.104300
92.375,1,0.319274,1.668362,-0.105787,-0.084475,0.796377,-0.095449,-0.591217,14.590710,253.014800,358.715900
92.487,1,0.324294,1.667297,-0.109633,-0.087306,0.793628,-0.095875,-0.594425,14.831170,253.476400,358.542000
92.597,1,0.326326,1.665398,-0.111272,-0.091130,0.792903,-0.099236,-0.594266,15.407360,253.488100,358.420800
92.708,1,0.318960,1.662078,-0.112290,-0.090253,0.789693,-0.096891,-0.599042,15.138790,254.157400,358.429200
92.819,1,0.299413,1.651237,-0.113171,-0.093680,0.782524,-0.098627,-0.607580,15.556750,255.436600,358.407900
92.930,1,0.266391,1.628859,-0.114189,-0.100229,0.776815,-0.101415,-0.613374,16.291070,256.321700,358.130700
93.042,1,0.233999,1.604505,-0.115416,-0.113628,0.780986,-0.102276,-0.605549,17.299510,255.087600,356.780700
93.152,1,0.198243,1.582914,-0.115636,-0.105158,0.790139,-0.100407,-0.595434,16.493050,253.598100,357.213900
93.264,1,0.158357,1.566095,-0.116065,-0.087876,0.809327,-0.087522,-0.574115,14.038240,250.398000,357.533800
93.375,1,0.125959,1.550811,-0.113932,-0.072363,0.825323,-0.073637,-0.555142,11.647660,247.627400,357.794700
93.487,1,0.096298,1.529179,-0.106262,-0.056601,0.840968,-0.061889,-0.534546,9.474340,244.742900,358.313200
93.598,1,0.080837,1.514657,-0.099936,-0.051571,0.849380,-0.054641,-0.522407,8.435914,243.056400,358.232100
93.709,1,0.065145,1.502969,-0.092554,-0.046059,0.856400,-0.049821,-0.511835,7.613091,241.622700,358.387600
93.821,1,0.054065,1.496094,-0.085120,-0.046665,0.862412,-0.042792,-0.502231,6.931435,240.298200,357.834700
93.931,1,0.047192,1.493888,-0.079681,-0.047032,0.870524,-0.041710,-0.488094,6.807350,238.416500,357.623900
94.043,1,0.043302,1.493762,-0.074991,-0.044645,0.875039,-0.038294,-0.480466,6.310576,237.409100,357.616500
94.153,1,0.041210,1.491185,-0.071866,-0.042405,0.878511,-0.039143,-0.474223,6.257366,236.602800,357.844900
94.266,1,0.039526,1.486519,-0.071087,-0.044208,0.883186,-0.038462,-0.465348,6.262366,235.435800,357.561600
94.376,1,0.037462,1.481900,-0.071320,-0.045630,0.884909,-0.039163,-0.461866,6.399532,234.979500,357.428800
94.487,1,0.030423,1.477261,-0.066838,-0.051286,0.878412,-0.042236,-0.473263,7.050579,236.450600,357.105000
94.599,1,0.019761,1.474796,-0.055599,-0.064327,0.867283,-0.037163,-0.492241,7.341917,238.877300,355.663500
94.708,1,0.003450,1.468599,-0.039207,-0.087917,0.859715,-0.031600,-0.502158,8.200109,240.080800,353.069600
94.820,1,-0.011424,1.458831,-0.029418,-0.105094,0.851467,-0.030149,-0.512885,9.157141,241.433700,351.375800
94.931,1,-0.029461,1.447136,-0.027628,-0.111638,0.838980,-0.037639,-0.531256,10.473050,243.894100,351.383000
