timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
221.160,1,0.009349,1.621344,0.025800,-0.307975,-0.135336,0.036940,-0.940995,36.128900,16.688820,0.981842
221.260,1,0.007685,1.625971,0.025441,-0.294430,-0.132630,0.036246,-0.945731,34.507700,16.172370,0.663525
221.373,1,0.005078,1.649521,0.029569,-0.201938,-0.116393,0.035031,-0.971827,23.618920,13.383550,358.681700
221.483,1,-0.001781,1.668639,0.025205,-0.136762,-0.087030,0.033268,-0.986213,15.994360,9.735891,357.507000
221.594,1,-0.006081,1.675409,0.021041,-0.115236,-0.069150,0.031108,-0.990440,13.448450,7.670073,357.307800
221.706,1,-0.007950,1.679218,0.016117,-0.103750,-0.063392,0.029604,-0.992140,12.100230,7.028499,357.327600
221.817,1,-0.006712,1.680765,0.012541,-0.099292,-0.073192,0.023368,-0.992088,11.562270,8.250267,358.138100
221.928,1,-0.009188,1.683827,0.008829,-0.091513,-0.061712,0.014464,-0.993785,10.583800,7.012599,358.982700
222.039,1,-0.014858,1.685185,0.008454,-0.087225,-0.028895,0.010583,-0.995713,10.038760,3.242464,359.066900
222.150,1,-0.020964,1.685171,0.008700,-0.088022,-0.000667,0.007592,-0.996089,10.099930,-0.000401,359.126600
222.262,1,-0.025356,1.683991,0.008979,-0.093079,0.014946,0.007508,-0.995518,10.666860,358.183200,358.966200
222.373,1,-0.028531,1.683053,0.008176,-0.097928,0.020868,0.004280,-0.994966,11.226730,357.524600,359.263700
222.485,1,-0.032640,1.682988,0.006421,-0.099470,0.032640,0.003892,-0.994498,11.396140,356.157400,359.168000
222.595,1,-0.036386,1.682940,0.004128,-0.100200,0.043006,0.004776,-0.994026,11.466310,354.939000,358.941000
222.706,1,-0.042963,1.683135,0.002598,-0.101502,0.053516,0.004689,-0.993384,11.604740,353.712600,358.819600
222.817,1,-0.049761,1.683209,0.003276,-0.100415,0.062847,0.000867,-0.992958,11.496460,352.672400,359.161300
222.928,1,-0.058332,1.682849,0.005766,-0.098921,0.072454,0.000072,-0.992454,11.322900,351.565200,359.154000
223.040,1,-0.063238,1.682418,0.009284,-0.099278,0.071327,-0.002217,-0.992498,11.383900,351.722000,359.429500
223.151,1,-0.067967,1.681658,0.015037,-0.102161,0.070751,-0.002306,-0.992246,11.716130,351.783700,359.421900
223.262,1,-0.070696,1.680007,0.018231,-0.106713,0.068096,-0.001003,-0.991955,12.230520,352.067000,359.264600
223.373,1,-0.075380,1.680199,0.019140,-0.107449,0.077359,-0.003159,-0.991191,12.327180,351.008900,359.392200
223.485,1,-0.086364,1.682678,0.016903,-0.098266,0.122329,-0.004120,-0.987604,11.250780,345.786600,359.070900
223.596,1,-0.101728,1.686617,0.009897,-0.079621,0.199752,-0.005844,-0.976589,9.082105,336.786300,358.816600
