timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
115.018,1,-0.083152,1.495762,-0.028085,-0.049328,0.005420,0.011788,-0.998698,5.647039,359.309700,358.613400
115.130,1,-0.083543,1.495990,-0.028218,-0.049371,0.005734,0.011848,-0.998694,5.651433,359.273300,358.604800
115.242,1,-0.083853,1.495849,-0.028194,-0.049299,0.006527,0.012234,-0.998688,5.641790,359.180000,358.555900
115.352,1,-0.084126,1.495503,-0.027766,-0.050327,0.006544,0.012643,-0.998631,5.759344,359.174000,358.507800
115.464,1,-0.084399,1.495055,-0.026994,-0.050741,0.006305,0.012576,-0.998613,5.807308,359.201300,358.516500
115.575,1,-0.084806,1.494654,-0.026483,-0.051395,0.007401,0.012395,-0.998574,5.880862,359.075300,358.530100
115.686,1,-0.084702,1.494034,-0.025597,-0.051825,0.006781,0.012423,-0.998556,5.931081,359.145700,358.530200
115.797,1,-0.084825,1.493502,-0.024752,-0.052608,0.007480,0.012465,-0.998509,6.019834,359.063700,358.520300
115.908,1,-0.084860,1.493036,-0.023822,-0.052911,0.007433,0.012414,-0.998494,6.054707,359.069100,358.526200
116.019,1,-0.084793,1.492686,-0.022830,-0.053299,0.007383,0.012178,-0.998477,6.099575,359.075600,358.553200
116.131,1,-0.084379,1.492211,-0.021710,-0.054284,0.007028,0.012511,-0.998422,6.212752,359.112800,358.516000
116.242,1,-0.084233,1.491758,-0.021079,-0.055067,0.007269,0.012482,-0.998378,6.302334,359.084000,358.517000
116.353,1,-0.084142,1.491709,-0.020847,-0.054679,0.007076,0.012287,-0.998403,6.258219,359.108100,358.541000
116.464,1,-0.084252,1.491713,-0.020547,-0.055175,0.007072,0.012149,-0.998378,6.315238,359.108700,358.556500
116.575,1,-0.084601,1.491092,-0.020330,-0.057913,0.006516,0.011535,-0.998234,6.630746,359.172500,358.628000
116.686,1,-0.087359,1.491530,-0.021082,-0.059656,0.009353,0.010671,-0.998118,6.827918,358.849000,358.706300
116.797,1,-0.090901,1.492627,-0.022450,-0.058325,0.012775,0.008292,-0.998182,6.674312,358.472900,358.959000
116.908,1,-0.095707,1.493408,-0.024131,-0.056555,0.016331,0.006553,-0.998245,6.470792,358.076800,359.139000
117.019,1,-0.099332,1.492796,-0.025181,-0.057814,0.018934,0.006313,-0.998128,6.613552,357.777200,359.146800
117.130,1,-0.102609,1.491704,-0.027115,-0.060937,0.019794,0.005483,-0.997930,6.973152,357.680400,359.229000
117.242,1,-0.105482,1.492249,-0.029743,-0.060724,0.021426,0.005113,-0.997912,6.948441,357.495100,359.260800
117.352,1,-0.109528,1.493587,-0.032308,-0.058101,0.024270,0.005354,-0.998001,6.644570,357.168600,359.220900
117.464,1,-0.113808,1.494354,-0.034045,-0.056641,0.027856,0.003976,-0.997998,6.478742,356.766200,359.360400
117.575,1,-0.116924,1.494828,-0.034807,-0.056369,0.030578,0.002911,-0.997938,6.449465,356.459800,359.466200
117.686,1,-0.119415,1.495743,-0.035239,-0.058176,0.031601,0.003281,-0.997801,6.654869,356.337700,359.410200
117.797,1,-0.120483,1.497653,-0.036385,-0.053931,0.032540,0.003035,-0.998010,6.168304,356.235400,359.448600
117.907,1,-0.119176,1.500320,-0.037986,-0.047196,0.024506,0.005539,-0.998570,5.392963,357.152100,359.230200
118.019,1,-0.114395,1.505633,-0.039963,-0.033562,-0.008073,0.007806,-0.999374,3.853601,0.896581,359.135100
118.130,1,-0.106656,1.515687,-0.044805,-0.019076,-0.074444,0.006094,-0.997024,2.231969,8.529830,359.466000
118.241,1,-0.099145,1.528657,-0.054213,-0.003510,-0.149781,0.004516,-0.988703,0.475170,17.226880,359.548600
118.352,1,-0.092180,1.541883,-0.069207,0.005393,-0.229637,0.004668,-0.973250,359.521400,26.554900,359.337400
118.464,1,-0.085428,1.551176,-0.085264,0.000765,-0.301278,0.013264,-0.953444,0.374401,35.067070,358.524200
118.575,1,-0.078990,1.552007,-0.098952,-0.026176,-0.371111,0.028740,-0.927775,4.008333,43.534770,358.052500
118.685,1,-0.076202,1.547809,-0.110440,-0.073393,-0.427488,0.048574,-0.899727,9.996945,50.702260,358.565300
118.796,1,-0.082125,1.543588,-0.113966,-0.107043,-0.435117,0.066051,-0.891545,14.379720,51.845440,358.543400
118.907,1,-0.098329,1.542085,-0.116515,-0.128544,-0.429938,0.079995,-0.890073,17.314270,51.273220,358.086900
119.018,1,-0.110694,1.542249,-0.114817,-0.145302,-0.428985,0.091255,-0.886866,19.634650,51.235170,357.736600
119.128,1,-0.119090,1.546307,-0.108600,-0.148459,-0.417256,0.095230,-0.891510,20.131450,49.664680,357.197500
119.240,1,-0.117523,1.550934,-0.104348,-0.152281,-0.413997,0.096497,-0.892247,20.587840,49.269160,357.176600
119.350,1,-0.107220,1.548830,-0.093330,-0.173606,-0.390839,0.100605,-0.898323,22.988710,46.454910,357.195100
119.462,1,-0.089638,1.542980,-0.081640,-0.193590,-0.362466,0.109417,-0.905080,25.451600,42.822210,356.334700
119.572,1,-0.075242,1.536641,-0.074193,-0.226449,-0.332570,0.109473,-0.908919,28.977270,39.375320,356.829600
119.683,1,-0.066706,1.536752,-0.070352,-0.229509,-0.313920,0.103462,-0.915465,29.023700,37.085030,357.028000
119.795,1,-0.063090,1.532930,-0.065365,-0.258227,-0.292332,0.109441,-0.914267,32.422790,34.492170,356.662600
119.905,1,-0.058985,1.538305,-0.053558,-0.250236,-0.276701,0.104700,-0.921877,31.286300,32.388870,356.339500
120.014,1,-0.057482,1.537721,-0.039403,-0.252451,-0.267057,0.097074,-0.924946,31.255540,31.370430,357.000100
120.125,1,-0.054363,1.537744,-0.008703,-0.243531,-0.268942,0.089404,-0.927561,29.991370,31.720440,357.692900
120.235,1,-0.050725,1.543417,0.027925,-0.238047,-0.281188,0.089615,-0.925330,29.402480,33.253850,357.896600
120.346,1,-0.043413,1.554139,0.088938,-0.247762,-0.312434,0.103529,-0.911198,31.078560,37.221910,357.734700
120.458,1,-0.033824,1.565848,0.131590,-0.229804,-0.361002,0.112781,-0.896743,29.576030,43.223960,357.604400
120.568,1,-0.013745,1.572932,0.167787,-0.219265,-0.431884,0.132745,-0.864742,29.595680,52.378590,357.351100
120.680,1,0.006801,1.572856,0.179298,-0.218053,-0.489317,0.147555,-0.831414,30.463350,60.377940,357.874800
120.790,1,0.029930,1.574566,0.173151,-0.198807,-0.552447,0.167150,-0.792048,29.974400,68.991410,357.014200
120.901,1,0.046949,1.581547,0.149052,-0.169330,-0.613024,0.160696,-0.754788,26.913010,77.627730,357.752100
121.012,1,0.058061,1.587488,0.115161,-0.144363,-0.686908,0.160677,-0.693902,24.903280,89.075490,358.442000
121.124,1,0.063255,1.593283,0.081209,-0.118290,-0.769682,0.143832,-0.610663,21.461770,103.218200,0.395562
121.235,1,0.068141,1.597040,0.059811,-0.100569,-0.820826,0.142145,-0.543991,20.045730,113.044900,0.637212
121.348,1,0.077872,1.601597,0.042708,-0.078041,-0.878437,0.123163,-0.455071,16.702930,125.447200,1.496405
121.460,1,0.090342,1.604430,0.038433,-0.060115,-0.922304,0.109747,-0.365646,14.264640,136.975200,1.811177
121.572,1,0.108935,1.612854,0.041613,-0.045020,-0.956029,0.104829,-0.270172,12.989020,148.636700,1.731152
121.683,1,0.130278,1.619580,0.047576,-0.024917,-0.975635,0.108551,-0.189032,12.781370,158.119100,0.445339
121.793,1,0.149438,1.621247,0.055388,-0.013931,-0.987593,0.112933,-0.108224,13.066320,167.513200,0.180713
121.904,1,0.165045,1.623757,0.065994,-0.011889,-0.992889,0.112939,-0.035714,13.009940,175.984200,0.914041
122.015,1,0.175142,1.630332,0.074457,-0.008557,-0.995480,0.094183,0.008715,10.799030,181.106100,1.089536
122.127,1,0.181873,1.648960,0.083725,-0.000538,-0.998169,0.010838,0.059510,1.236047,186.825200,0.135461
122.239,1,0.181209,1.670109,0.093617,-0.014659,-0.988261,-0.105557,0.109465,347.769500,192.604400,0.343779
122.351,1,0.179846,1.689758,0.109445,-0.022294,-0.964169,-0.214553,0.154430,335.126500,198.523700,358.529800
122.464,1,0.170138,1.689243,0.114504,-0.001148,-0.949784,-0.221668,0.220843,335.065600,207.520600,353.940200
122.575,1,0.164154,1.677939,0.107205,0.004445,-0.947811,-0.155743,0.278170,342.977000,213.567200,354.293800
122.685,1,0.171886,1.658718,0.089497,0.003001,-0.966440,-0.042211,0.253382,355.407500,209.445000,358.436800
122.795,1,0.183538,1.646962,0.077921,0.015396,-0.980772,0.021789,0.193325,2.790974,202.271400,358.750800
122.905,1,0.194548,1.639039,0.070343,0.022801,-0.986241,0.061446,0.151769,7.361082,197.399000,358.479000
123.016,1,0.201842,1.634654,0.067049,0.023098,-0.988195,0.082341,0.127110,9.707011,194.537200,358.563000
123.126,1,0.204412,1.632644,0.065252,0.025916,-0.987264,0.099791,0.121162,11.731140,193.831000,358.420300
123.236,1,0.201248,1.631018,0.061923,0.022909,-0.985958,0.103595,0.128956,12.133410,194.788200,358.918300
123.348,1,0.193826,1.631159,0.048904,0.025496,-0.986501,0.105050,0.123005,12.329640,194.059800,358.565200
123.459,1,0.183665,1.631975,0.029919,0.031436,-0.987537,0.100136,0.117283,11.838240,193.311400,357.739800
123.570,1,0.169781,1.632509,0.000715,0.035563,-0.988010,0.096027,0.115540,11.418180,193.058800,357.188300
123.682,1,0.160822,1.630139,-0.018682,0.040488,-0.986439,0.095096,0.127499,11.416310,194.404200,356.746600
123.793,1,0.153492,1.633883,-0.032103,0.032661,-0.980713,0.081436,0.174652,9.854074,200.016900,357.928300
123.905,1,0.147113,1.640739,-0.040118,0.028196,-0.963043,0.056276,0.261891,7.074519,210.337800,358.566200
124.017,1,0.146875,1.645116,-0.046441,0.023665,-0.939698,0.035541,0.339330,4.752785,219.661200,358.829700
124.128,1,0.156428,1.647799,-0.057445,0.020971,-0.913271,0.029878,0.405714,4.105339,227.876700,359.192300
124.240,1,0.168457,1.652033,-0.065768,0.021087,-0.895548,0.023179,0.443861,3.453349,232.699100,359.013100
124.351,1,0.185856,1.655437,-0.079647,0.011242,-0.875122,0.016305,0.483498,2.258533,237.836200,359.775800
124.462,1,0.201051,1.654533,-0.093847,0.005916,-0.860729,0.018553,0.508691,2.175248,241.175600,0.498374
124.573,1,0.215319,1.653127,-0.108361,-0.000076,-0.849201,0.020989,0.527653,2.038283,243.732400,1.277375
124.684,1,0.226504,1.651938,-0.121060,-0.004536,-0.842548,0.023099,0.538107,1.950831,245.161700,1.863637
124.795,1,0.230438,1.652257,-0.129351,-0.006048,-0.838872,0.020974,0.543890,1.639488,245.942500,1.889687
124.906,1,0.224403,1.653777,-0.136550,-0.003541,-0.834104,0.014970,0.551393,1.207219,246.947700,1.284738
125.017,1,0.212568,1.654599,-0.140647,-0.000452,-0.830011,0.013680,0.557579,1.272382,247.794500,0.917287
125.128,1,0.194825,1.654844,-0.144970,0.004572,-0.832092,0.015620,0.554399,1.780193,247.357300,0.556649
125.240,1,0.181238,1.654848,-0.147130,0.009035,-0.832337,0.015541,0.553978,2.056303,247.295300,0.124886
125.350,1,0.167263,1.653864,-0.149896,0.012947,-0.833996,0.022021,0.551179,2.923528,246.924600,0.153741
125.462,1,0.160202,1.652982,-0.151380,0.015195,-0.835192,0.026052,0.549130,3.451548,246.654600,0.185385
125.572,1,0.157175,1.653192,-0.152121,0.013328,-0.837081,0.027436,0.546229,3.468071,246.265400,0.439706
125.684,1,0.155586,1.654115,-0.152694,0.013629,-0.839042,0.025296,0.543307,3.282436,245.856300,0.264876
125.795,1,0.153609,1.654106,-0.153250,0.014252,-0.839955,0.024553,0.541914,3.250076,245.662200,0.153161
