timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
270.583,1,-0.523009,1.655640,0.068492,-0.013190,-0.252815,0.015251,-0.967305,1.904191,29.272610,358.690800
270.695,1,-0.522691,1.655759,0.068239,-0.012980,-0.252711,0.015513,-0.967330,1.888353,29.259970,358.655500
270.806,1,-0.523052,1.657245,0.067992,-0.006785,-0.250405,0.014341,-0.968011,1.164209,28.992530,358.603500
270.917,1,-0.524298,1.658882,0.067971,-0.001311,-0.245731,0.012900,-0.969251,0.508894,28.446280,358.604000
271.028,1,-0.526057,1.660828,0.069332,0.006904,-0.235796,0.010591,-0.971721,359.517400,27.285010,358.634000
271.139,1,-0.526882,1.661144,0.069989,0.008173,-0.230987,0.008685,-0.972884,359.318800,26.719350,358.815200
271.250,1,-0.525934,1.661130,0.071090,0.007411,-0.231894,0.009026,-0.972671,359.413800,26.825250,358.796900
271.362,1,-0.524866,1.660828,0.071702,0.006703,-0.233285,0.009688,-0.972337,359.512200,26.988380,358.741200
271.473,1,-0.524364,1.660608,0.072340,0.005858,-0.233099,0.009622,-0.972388,359.604200,26.965150,358.771300
271.584,1,-0.523586,1.660714,0.072668,0.006310,-0.234046,0.010107,-0.972153,359.568100,27.077610,358.704700
271.695,1,-0.522787,1.660517,0.073220,0.005762,-0.235049,0.010224,-0.971913,359.633600,27.195120,358.706000
271.806,1,-0.521767,1.660378,0.074112,0.005656,-0.236205,0.010973,-0.971625,359.667200,27.331460,358.625000
271.917,1,-0.521371,1.660387,0.075294,0.006065,-0.235939,0.011217,-0.971684,359.628000,27.300750,358.586900
272.028,1,-0.524220,1.661906,0.076576,0.012414,-0.233365,0.011002,-0.972248,358.911100,27.009080,358.441800
272.140,1,-0.529148,1.662730,0.079712,0.017241,-0.221198,0.005961,-0.975058,358.224400,25.580250,358.896300
272.251,1,-0.534991,1.662779,0.086776,0.017999,-0.190821,-0.002244,-0.981457,357.926100,22.007670,359.858700
272.363,1,-0.534535,1.662665,0.093908,0.014655,-0.165180,-0.003254,-0.986149,358.282100,19.016160,0.090327
272.473,1,-0.528942,1.661752,0.098725,0.006591,-0.161308,-0.002651,-0.986879,359.205600,18.564930,0.178010
272.585,1,-0.522637,1.661365,0.099596,0.004281,-0.168253,-0.002258,-0.985732,359.472900,19.371910,0.172571
272.696,1,-0.518119,1.662134,0.097676,0.006477,-0.174999,-0.000706,-0.984547,359.255100,20.157920,359.949700
272.807,1,-0.514106,1.661301,0.094470,0.005417,-0.175393,0.003082,-0.984479,359.450800,20.205590,359.543400
272.918,1,-0.512832,1.660597,0.093630,0.003149,-0.168498,0.002891,-0.985693,359.700200,19.402150,359.612600
273.029,1,-0.513249,1.660454,0.093387,0.001947,-0.150203,0.002260,-0.988651,359.818300,17.277880,359.710500
273.140,1,-0.513988,1.660060,0.094639,-0.003307,-0.134098,0.001951,-0.990961,0.405566,15.412440,359.829300
273.251,1,-0.515445,1.660482,0.097867,-0.003798,-0.117316,-0.002844,-0.993083,0.394011,13.475840,0.374747
273.363,1,-0.515515,1.657823,0.104173,-0.006871,-0.102362,-0.010306,-0.994670,0.662308,11.758550,1.255416
273.474,1,-0.513368,1.657236,0.109728,-0.014338,-0.077062,-0.018402,-0.996753,1.475384,8.870525,2.229819
273.585,1,-0.507926,1.656431,0.111684,-0.023537,-0.032811,-0.034052,-0.998604,2.566157,3.853229,3.992353
273.696,1,-0.500095,1.655839,0.112755,-0.034705,0.023369,-0.033582,-0.998560,4.064517,357.452200,3.761936
273.807,1,-0.481654,1.649789,0.112891,-0.044494,0.063585,-0.021787,-0.996746,5.248075,352.799400,2.173972
273.918,1,-0.465056,1.643024,0.109407,-0.053512,0.062760,-0.008249,-0.996559,6.182216,352.823200,0.560382
274.028,1,-0.454090,1.644127,0.102063,-0.049735,0.060622,-0.001515,-0.996920,5.701572,353.031700,359.826700
274.140,1,-0.458140,1.646821,0.097443,-0.040838,0.088398,-0.002466,-0.995245,4.687681,349.843200,359.867100
274.251,1,-0.474239,1.650813,0.096291,-0.029120,0.124906,-0.009960,-0.991691,3.453816,345.664100,0.716382
274.363,1,-0.498701,1.655454,0.100364,-0.011666,0.156183,-0.020075,-0.987455,1.679630,342.054500,2.064140
274.474,1,-0.527459,1.657032,0.107296,-0.002843,0.183380,-0.022753,-0.982775,0.798362,338.878400,2.503627
274.586,1,-0.572903,1.659107,0.120056,0.007123,0.196503,-0.021607,-0.980239,359.686400,337.322000,2.588403
274.697,1,-0.614254,1.660168,0.133662,0.017526,0.195637,-0.016748,-0.980377,358.406400,337.397800,2.275888
274.808,1,-0.671992,1.661847,0.152997,0.018262,0.178333,-0.013172,-0.983713,358.210400,339.420300,1.859265
274.919,1,-0.716235,1.665073,0.169994,0.033484,0.163467,-0.017667,-0.985822,356.546200,341.090800,2.628675
275.030,1,-0.761386,1.667569,0.200243,0.040961,0.148394,-0.023691,-0.987796,355.762500,342.787600,3.389444
275.141,1,-0.786186,1.669789,0.237786,0.045333,0.126699,-0.022536,-0.990649,355.175300,345.287400,3.229581
275.252,1,-0.800175,1.666514,0.284542,0.045878,0.112526,-0.022713,-0.992329,355.069900,346.923800,3.187773
275.364,1,-0.802382,1.659118,0.337830,0.043295,0.106343,-0.022255,-0.993137,355.338900,347.651300,3.071954
275.475,1,-0.793807,1.653222,0.385396,0.041292,0.101871,-0.018722,-0.993764,355.511700,348.191300,2.622975
275.586,1,-0.779722,1.663624,0.450486,0.053942,0.096933,-0.012983,-0.993743,353.990500,348.748000,2.089534
275.697,1,-0.768677,1.668136,0.498363,0.058608,0.088689,-0.003678,-0.994327,353.344500,349.746600,1.021618
275.808,1,-0.758172,1.669831,0.546229,0.058689,0.067152,-0.000666,-0.996015,353.291300,352.254700,0.531246
275.919,1,-0.755383,1.673677,0.576838,0.061751,0.045240,-0.000457,-0.997066,352.929000,354.781000,0.375215
276.030,1,-0.757486,1.675092,0.610707,0.063415,0.011394,-0.001576,-0.997921,352.730800,358.674900,0.265196
276.142,1,-0.766011,1.676103,0.638808,0.064745,-0.022694,-0.001650,-0.997643,352.573200,2.604890,0.020399
276.252,1,-0.779885,1.675325,0.662570,0.063946,-0.063546,-0.001808,-0.995927,352.669100,7.318473,359.738500
276.364,1,-0.797326,1.679428,0.684380,0.067024,-0.112357,0.001515,-0.991404,352.382700,13.001180,358.955600
276.474,1,-0.813250,1.684302,0.703233,0.070220,-0.156750,0.000169,-0.985139,352.050500,18.171500,358.707000
276.585,1,-0.832178,1.686522,0.724115,0.075306,-0.211651,0.001538,-0.974438,351.598300,24.657390,357.979700
276.696,1,-0.845237,1.685676,0.737227,0.072668,-0.250451,-0.004049,-0.965390,351.817100,29.205560,358.345300
276.807,1,-0.859735,1.684834,0.747698,0.068111,-0.290082,-0.015176,-0.954454,352.020400,33.853200,359.389800
276.918,1,-0.865955,1.683951,0.750386,0.068261,-0.324341,-0.020081,-0.943261,351.847900,37.977500,359.629800
277.029,1,-0.864972,1.682165,0.746834,0.065818,-0.386749,-0.025353,-0.919484,351.914700,45.642300,359.751900
277.140,1,-0.860876,1.679636,0.733691,0.056494,-0.442362,-0.027275,-0.894640,352.806900,52.625260,359.932000
277.250,1,-0.855310,1.676037,0.701115,0.055021,-0.505540,-0.024704,-0.860693,353.125800,60.902320,359.243700
277.361,1,-0.850807,1.676549,0.661743,0.058329,-0.549908,-0.022019,-0.832895,353.028200,66.965100,358.414100
277.471,1,-0.846563,1.676871,0.616811,0.066362,-0.586012,-0.020384,-0.807323,352.470200,72.120310,357.406200
277.583,1,-0.841392,1.676734,0.567841,0.068115,-0.619443,-0.023857,-0.781717,352.180600,76.973790,357.275800
277.694,1,-0.834290,1.679194,0.522449,0.070121,-0.644328,-0.027358,-0.761036,351.837300,80.706950,357.178800
277.806,1,-0.822545,1.678990,0.465383,0.071562,-0.669288,-0.028230,-0.739010,351.746200,84.557440,356.868300
277.918,1,-0.812413,1.677412,0.422605,0.069087,-0.687513,-0.029471,-0.722277,351.933400,87.388870,356.964900
278.028,1,-0.799750,1.672502,0.370093,0.067371,-0.709814,-0.027222,-0.700632,352.354200,90.968250,356.674200
278.140,1,-0.793170,1.670146,0.332749,0.069186,-0.732433,-0.024604,-0.676868,352.547700,94.771990,356.065200
278.250,1,-0.783117,1.670293,0.293985,0.070982,-0.758628,-0.026867,-0.647089,352.378500,99.354610,355.780500
