timestamp,level,px,py,pz,rx,ry,rz,rw,ex,ey,ez
251.757,1,-0.172701,1.656074,0.091806,0.060251,0.083525,-0.040113,0.993873,7.265329,9.351914,355.972700
251.868,1,-0.171672,1.655882,0.093986,0.061180,0.085420,-0.041011,0.993619,7.387825,9.561782,355.891800
251.979,1,-0.171055,1.656365,0.095606,0.059758,0.086890,-0.040106,0.993615,7.222452,9.742454,355.993500
252.090,1,-0.171903,1.663015,0.096918,0.034957,0.079306,-0.035221,0.995614,4.312404,8.968734,356.286300
252.202,1,-0.174413,1.672337,0.096642,-0.001493,0.062879,-0.027737,0.997635,0.029132,7.212187,356.816700
252.313,1,-0.175091,1.668305,0.100476,0.014780,0.047047,-0.032203,0.998264,1.864701,5.337804,356.391600
252.425,1,-0.173554,1.671179,0.102412,0.001056,0.045955,-0.029002,0.998522,0.273596,5.262177,356.685200
252.536,1,-0.172883,1.676752,0.101809,-0.016237,0.044822,-0.023585,0.998585,358.262900,5.182235,357.215500
252.648,1,-0.172021,1.675492,0.104793,-0.016079,0.033422,-0.014379,0.999209,358.213700,3.858172,358.291000
252.759,1,-0.170022,1.676965,0.105569,-0.021413,0.021851,-0.007118,0.999507,357.564500,2.523218,359.130300
252.870,1,-0.164740,1.681795,0.102639,-0.030276,0.008748,-0.001789,0.999502,356.532000,1.010030,359.764300
252.982,1,-0.156211,1.681145,0.100325,-0.027035,-0.001249,-0.003935,0.999626,356.901200,359.869000,359.552400
253.093,1,-0.145096,1.678130,0.098437,-0.021550,-0.009381,-0.006594,0.999702,357.523500,358.940600,359.267100
253.204,1,-0.133854,1.673039,0.096331,-0.016182,-0.018575,-0.010156,0.999645,358.124400,357.889400,358.870500
253.315,1,-0.127588,1.670855,0.093504,-0.013298,-0.018626,-0.012187,0.999664,358.450400,357.883700,358.631700
253.426,1,-0.127953,1.673501,0.088307,-0.013312,-0.009277,-0.016305,0.999736,358.457500,358.961600,358.145200
253.537,1,-0.133721,1.672377,0.083310,-0.014519,0.002093,-0.015314,0.999775,358.340100,0.265332,358.241000
253.648,1,-0.146273,1.675268,0.077848,-0.014973,0.021491,-0.015520,0.999537,358.322900,2.490039,358.184400
253.759,1,-0.158310,1.678623,0.074873,-0.014674,0.036358,-0.015693,0.999108,358.385200,4.194368,358.141100
253.870,1,-0.175519,1.679667,0.071503,-0.011206,0.050709,-0.018374,0.998482,358.824600,5.836939,357.831700
253.981,1,-0.192334,1.680189,0.068227,-0.005509,0.065195,-0.018539,0.997685,359.508600,7.486732,357.838700
254.092,1,-0.209711,1.679182,0.064765,-0.001128,0.080891,-0.015186,0.996607,0.011992,9.280504,358.254900
254.203,1,-0.226528,1.675871,0.061147,0.002570,0.092429,-0.015059,0.995602,0.452665,10.601240,358.308900
254.314,1,-0.237407,1.672717,0.055401,0.005560,0.092722,-0.017068,0.995530,0.815608,10.628750,358.111500
254.425,1,-0.242470,1.672009,0.042251,0.010123,0.079985,-0.015571,0.996623,1.298900,9.157902,358.313800
254.536,1,-0.240098,1.671894,0.029961,0.003665,0.070883,-0.023828,0.997193,0.612310,8.117404,357.305800
254.648,1,-0.229850,1.671793,0.018083,0.001264,0.066739,-0.028046,0.997375,0.358903,7.646465,356.802600
254.759,1,-0.217648,1.673857,0.012755,0.005606,0.064171,-0.029310,0.997493,0.856315,7.337070,356.688800
