frame,axis,model,n,b_source,se_source,ci_lo_source,ci_hi_source,t_source,df_source,p_source,beta_std_source,b_cue,se_cue,ci_lo_cue,ci_hi_cue,p_cue,beta_std_cue,R2m_full,R2m_no_source,dR2m_source,chisq_source,p_lrt_source
onset,vertical (uy = sin elevation),head-frame vertical (uy = sin elevation) [onset],744,0.42399832080484273,0.029230077028346627,0.3667084225639518,0.48128821904573366,14.505549211986658,729.1673219690949,4.4720845596091565e-42,0.43780100647014786,0.4317475596640419,0.027848366911462807,0.37716576348931785,0.4863293558387659,5.107714569772011e-47,0.4667553472233339,0.7148966845493891,0.6356220921054004,0.07927459244398871,184.35231220901397,5.4349449038343e-42
onset,lateral (ux = sin lateral angle),head-frame lateral (ux = sin lateral angle) [onset],744,0.6653701983536396,0.025096084599914914,0.6161827763848361,0.7145576203224432,26.512908645354802,740.5343158447077,1.9779399660793719e-109,0.6503231889516435,0.32674327754882887,0.025537284296210095,0.2766911200652968,0.37679543503236096,5.2152716788019274e-34,0.3137440112651776,0.8571836255006514,0.7220812904875659,0.13510233501308555,496.14657232648545,6.552466479491555e-110
onset,front/back (uz),head-frame front/back (uz) [onset],744,0.6668184996146698,0.024405884899670792,0.6189838442004851,0.7146531550288544,27.322037383846894,735.865548923178,5.107214117557675e-114,0.6569307923473334,0.3065863321669234,0.02411441997090893,0.2593229375158685,0.35384972681797827,1.2393986123239552e-33,0.3070966904592378,0.8562566699993401,0.712755847299882,0.14350082269945819,517.9384788996831,1.18865220575735e-114
tw,vertical (uy = sin elevation),head-frame vertical (uy = sin elevation) [tw],744,0.24816666683920524,0.02520331131113211,0.19876908437823534,0.2975642493001751,9.84658975067264,735.7780421959209,1.4243883818179356e-21,0.3303169633971755,0.2745514863271284,0.029571327693794086,0.21659274907226012,0.33251022358199667,1.7622943409253788e-19,0.3145023699211846,0.2839661309238863,0.1878775405102245,0.09608859041366177,91.26001441355106,1.2598081324565229e-21
tw,lateral (ux = sin lateral angle),head-frame lateral (ux = sin lateral angle) [tw],744,0.4489809526388202,0.024277332595674543,0.4013982551105978,0.4965636501670426,18.49383373850612,740.1211744881481,4.599598356699819e-63,0.5411247181173009,0.19573562163928654,0.022958384071986367,0.15073801571495524,0.24073322756361784,8.504393021371814e-17,0.24789199108263074,0.40402882311814087,0.12636683446568725,0.2776619886524536,279.245989531796,1.096248114531215e-62
tw,front/back (uz),head-frame front/back (uz) [tw],744,0.3175595184070508,0.02604325696455058,0.26651567271640975,0.3686033640976919,12.193540878520102,735.8674863928757,2.795675837413701e-31,0.33850380864028634,0.47919541045416975,0.02946784750292684,0.4214394906465146,0.536951330261825,4.8244592294929e-51,0.472671287469437,0.5163099805347153,0.4209244040785491,0.09538557645616624,135.30596022245754,2.830174274379755e-31
final,vertical (uy = sin elevation),head-frame vertical (uy = sin elevation) [final],744,0.21179691933678826,0.026688164766130736,0.1594890775817012,0.2641047610918753,7.935986651490338,737.0929715591034,7.770302411710305e-15,0.2813456035622147,0.2577359692957434,0.033098457884863805,0.19286418389759458,0.3226077546938922,2.3338951700788458e-14,0.27555448489506573,0.22788002165482962,0.155697181898901,0.07218283975592862,60.65676267817213,6.794624807406839e-15
final,lateral (ux = sin lateral angle),head-frame lateral (ux = sin lateral angle) [final],744,0.43304802770652184,0.02522407626014301,0.3836097466933498,0.4824863087196939,17.168043072831505,738.284395830393,7.678700826137722e-56,0.511797863879058,0.1925206997379643,0.02612268206215658,0.1413211837165469,0.2437202157593817,4.629356604882185e-13,0.21834639811223672,0.38005272425704845,0.13164858702400367,0.24840413723304478,249.15038178847394,3.9780052091263853e-56
final,front/back (uz),head-frame front/back (uz) [final],744,0.3022633564812428,0.02766954246948743,0.248032049772346,0.3564946631901396,10.924046063087726,738.6340036438619,7.43338852607563e-26,0.32416472056684137,0.5216853594479322,0.03301159722438073,0.4569838178160035,0.5863869010798608,1.3368644339513227e-48,0.48195437401780944,0.5414355449330984,0.4795436889900499,0.061891855943048524,109.58521685219685,1.2079809845532818e-25
