"model","response","predictor","n","estimate","se","df","t","p","F_value","F_df2","ci_lo","ci_hi","AIC_ml","BIC_ml","logLik_ml","R2m","R2c","R2m_mmList","R2c_mmList","singular"
"A0","signedError_m","stimDisp_cm",744,0.346596426423483,0.0535140773963464,30.5049895593417,6.47673366124681,3.43136747781636e-07,41.9480789187275,30.5049895593417,0.241710761233431,0.451482091613536,-510.472639008906,-468.964269695408,264.236319504453,0.0817270830562808,0.210797453197731,0.0817270830562808,0.210797453197731,FALSE
"A1","signedError_m","angDisp_onset_cm",744,0.00120837524791101,0.000335032697834251,25.2651872130344,3.60673825486975,0.00133380094399558,13.0085608391409,25.2651872130344,0.000551723221333,0.00186502727448902,-447.260745332377,-405.752376018879,232.630372666189,0.026705566910395,0.144523629167936,0.026705566910395,0.144523629167936,FALSE
"A2","signedError_m","angDisp_mean_cm",744,0.00273954058122388,0.000442004249759858,26.2187336515075,6.19799602088052,1.42762463518817e-06,38.4151546748507,26.2187336515075,0.00187322816384755,0.00360585299860021,-508.038300562137,-466.529931248639,263.019150281068,0.0889453430430279,0.244490399797204,0.0889453430430279,0.244490399797204,FALSE
"B0","angResp_onset_deg","stimDisp_cm",744,24.3859756156811,6.45721104327012,32.544243157361,3.77654926442226,0.000641154802167295,14.2623243466083,32.544243157361,11.7300744304692,37.041876800893,6889.20927280431,6926.10560108297,-3436.60463640215,0.0249221636782804,0.0532270445209328,0.0249221636782804,0.0532270445209328,FALSE
"B1","angResp_onset_deg","angDisp_onset_cm",744,0.335877113382728,0.0659591977138695,32.3476640703408,5.0921952513698,1.47861753722654e-05,25.9304524780732,32.3476640703408,0.206599460394662,0.465154766370795,6810.08120893778,6846.97753721644,-3397.04060446889,0.0989815645733505,0.183346465857066,0.0989815645733505,0.183346465857066,FALSE
"B2","angResp_onset_deg","angDisp_mean_cm",744,0.322979873943994,0.0612951876932575,31.1454827230734,5.26925336390677,9.79315974051906e-06,27.7650310130428,31.1454827230734,0.202843512691966,0.443116235196022,6847.30641711294,6884.20274539161,-3415.65320855647,0.0705977621268244,0.122800844500734,0.0705977621268244,0.122800844500734,FALSE
"B2m","angResp_mean_deg","angDisp_mean_cm",744,0.429356926340867,0.0671959221943608,29.2693847595532,6.38962770834478,5.27493751315027e-07,40.8273422512473,29.2693847595532,0.297655337893119,0.561058514788615,6571.63058342088,6608.52691169954,-3277.81529171044,0.140255708399665,0.339056994430639,0.140255708399665,0.339056994430639,FALSE
"A0pub","signedError_m","stimulusDisparity_m",744,0.346596423664192,0.0535140824337653,30.5049898097573,6.47673300001314,3.4313736673796e-07,41.9480703534593,30.5049898097573,0.241710748600979,0.451482098727404,-510.472639008909,-468.964269695411,264.236319504454,0.0817270791976513,0.21079748516014,0.0817270791976513,0.21079748516014,FALSE
