"soundType","slope","SE","df","lower.CL","upper.CL","t.ratio","p.value","ci_width","n_trials"
"Drum",0.408094104068431,0.0852924848688175,162.033902783798,0.239665952978039,0.576522255158823,4.78464315696854,3.82983588486881e-06,0.336856302180783,186
"Flute",0.382735023892545,0.0973006246764352,227.093792844253,0.191007533803909,0.574462513981181,3.93353100419753,0.000111243478500098,0.383454980177273,186
"Speech",0.358181304465006,0.0889831314193626,191.155542015131,0.182666370578483,0.533696238351529,4.02527196730084,8.19718220139569e-05,0.351029867773046,186
"Pink Noise",0.245415692079364,0.0865195132313938,168.896297108903,0.0746167260157143,0.416214658143013,2.83653574683213,0.00511869135935326,0.341597932127299,186
