"pair","method","est","lo","hi","stat","df","p"
"frac_cue55 vs signedError_cm","pearson",0.0982824137512243,0.0265933636094064,0.168965711967512,2.69020565883993,742,0.00730136713967535
"frac_cue55 vs signedError_cm","spearman",0.124502884604336,NA,NA,60092668.6755468,NA,0.000665218390601516
"frac_cue55 vs bias_pct","pearson",0.0712149754087915,-0.000665342235847399,0.142363171211373,1.94481081711751,742,0.0521752195326609
"frac_cue55 vs bias_pct","spearman",0.0881391369850567,NA,NA,62588615.9483131,NA,0.0161833412942553
"cueEcc_mean vs signedError_cm","pearson",-0.0790277939164525,-0.150052367336921,-0.00719173297975687,-2.1594454293263,742,0.0311353816880134
"frac_cue55 vs disparity","pearson",0.00658202913699086,-0.0653257881764444,0.0784218400327564,0.179296231203018,742,0.857754053782225
"frac_cue55 vs responseTime_s","pearson",-0.155676028130839,-0.225034909225178,-0.0847473982253557,-4.29290307266171,742,1.99753818707219e-05
