"measure","mean","sd","median","min","max"
"angDisp_onset_deg",28.7576923572387,23.0805232372099,22.1767365231371,0.561989511731751,146.683181858671
"angDisp_mean_deg",42.2523430201658,20.0695862478479,40.5363422863574,2.35564083630233,115.500687078301
"angDisp_final_deg",34.5681672379951,25.3501243376617,27.4514942798326,0.96123721890809,164.787926821212
"angResp_onset_deg",10.2954947824324,24.9279912021268,8.0213062736477,-144.052435240663,177.65580469744
"angResp_mean_deg",17.1606272539648,23.1145290744183,15.9073992501764,-95.2609225102821,128.725185378341
"angResp_final_deg",15.7627692621295,36.2468174046501,11.4167075451556,-178.785532892452,174.932262901808
"stimulusDisparity_cm",37.8870968536664,14.8801636109878,36.0000014305115,15.0000005960464,69.9999988079071
"signedError_cm",13.6701213395267,18.4752377920635,12.0971296663578,-54.0377732352576,100.482481857562
