"replicate","max_LRT","argmax_breakpoint_m","n_singular","n_warn"
468,0.552777880575377,0.6,0,0
469,2.49357193098911,0.53,41,0
470,1.66467439323833,0.37,6,3
471,4.73130128232242,0.2,0,0
472,3.51379528391419,0.38,0,0
473,0.917565940419763,0.25,0,11
474,1.58554873418751,0.2,34,0
475,3.94131153277954,0.52,0,1
476,2.14059746507695,0.35,12,1
477,2.50253024179233,0.21,0,0
478,1.42785744217554,0.58,4,0
479,1.68727626103623,0.29,24,0
480,3.10847965821779,0.2,0,0
481,1.67374726335436,0.2,0,0
482,2.92349632472815,0.53,0,0
483,6.09460990147716,0.28,33,1
484,1.11445146625715,0.21,8,0
485,1.04676258137704,0.5,0,0
486,0.8706448830211,0.6,36,0
487,6.37276518542149,0.4,31,0
488,1.26310610083226,0.3,0,0
489,0.566012849849585,0.52,0,0
490,1.11686861185888,0.46,27,0
491,4.45346728143022,0.59,0,1
492,2.26535418020694,0.56,0,2
493,1.2253018188577,0.6,0,0
494,0.426286460033623,0.33,35,0
495,2.05432790919235,0.47,0,0
496,1.13235691545452,0.3,31,1
497,2.83909494162299,0.2,1,15
498,1.84189820072913,0.31,0,0
499,1.34216630260266,0.33,31,0
500,1.10642421116756,0.58,0,0
501,0.427206054367275,0.52,0,0
502,2.60876252948481,0.51,0,0
503,2.0680201268998,0.24,25,0
504,5.73460191102129,0.6,22,0
505,4.97370056269273,0.59,30,1
506,3.75627987257946,0.52,0,0
507,0.575637230559437,0.6,0,0
508,5.64539812239184,0.6,34,6
509,4.89746036110284,0.24,0,26
510,1.16769441302984,0.44,27,2
511,6.97406895684617,0.26,22,0
512,1.89825170376764,0.26,13,2
513,3.93606553515627,0.32,0,0
514,0.750981914675435,0.21,34,6
515,2.02642549893585,0.2,0,0
516,0.695617017936911,0.31,0,0
517,1.05826507498443,0.51,23,0
518,3.11822904186272,0.59,0,0
519,1.73353657785049,0.36,30,0
520,5.08559920628744,0.58,0,0
521,1.01968232165893,0.54,0,0
522,3.41454178729668,0.6,0,4
523,1.46759193781202,0.46,33,0
524,2.29523802348285,0.55,0,1
525,2.2767734063716,0.3,0,0
526,1.82524582741206,0.2,0,3
527,1.23127458553773,0.4,0,1
528,0.963816912851541,0.39,0,0
529,2.27130207854555,0.2,37,0
530,3.05108846521819,0.33,0,1
531,2.90638608657719,0.33,22,0
532,6.50446419885407,0.21,1,5
533,0.29849053133853,0.2,0,0
534,1.36356195633778,0.6,0,6
535,2.19804402439615,0.2,30,0
536,4.18410022384444,0.2,1,7
537,3.21868141469884,0.2,0,4
538,0.0873110354127675,0.23,0,1
539,4.07774759676431,0.6,0,5
540,1.05789609664407,0.51,32,0
541,9.06694376740404,0.59,0,0
542,0.23460169350767,0.46,31,1
543,0.31927485707854,0.24,0,1
544,2.06120522213394,0.57,26,1
545,6.0401615695688,0.2,0,0
546,1.46324282302021,0.28,0,0
547,1.48980129761111,0.38,0,3
548,0.874729013711544,0.41,0,0
549,1.5168039519927,0.6,7,1
550,4.25070334705379,0.4,0,0
551,1.02797586232521,0.24,41,0
552,1.71420658769637,0.33,0,2
553,1.89112051325435,0.6,0,1
554,7.30691396203781,0.2,36,0
555,1.47357302907142,0.24,0,0
556,5.05760574963131,0.33,4,0
557,10.9368893950532,0.38,0,0
558,0.568827195261065,0.51,0,0
559,1.74724660030785,0.6,0,0
560,1.62912611639587,0.24,38,1
561,2.00375128068032,0.27,24,2
562,2.33802705370306,0.2,34,1
563,5.26351544507986,0.53,32,0
564,3.99400904345077,0.23,27,7
565,0.471857117371201,0.2,0,3
566,5.22310662153279,0.41,0,0
567,1.33482684989076,0.23,37,0
568,2.1702778480697,0.39,0,0
569,2.22977045366292,0.4,0,0
570,0.813350353384294,0.58,7,1
571,0.308860387243385,0.37,18,0
572,6.45836514703478,0.59,0,0
573,0.881355110779396,0.2,32,1
574,5.72545561729657,0.53,41,0
575,1.75977872578244,0.37,0,0
576,1.20249713536953,0.6,6,4
577,2.52362934031623,0.2,0,0
578,2.09374222218787,0.46,41,0
579,2.39495206604954,0.24,0,0
580,0.798546363761261,0.3,0,2
581,3.98821618835558,0.22,0,2
582,0.590477949666138,0.21,0,0
583,1.17894950765424,0.51,0,1
584,3.33748548684952,0.47,35,0
585,2.78135215305872,0.45,0,1
586,2.33875780977627,0.52,0,0
587,2.28590593327021,0.37,0,0
588,9.79889254641319,0.57,0,1
589,1.50887134276206,0.45,33,0
590,2.1744016609681,0.36,23,1
591,1.56221937939722,0.27,0,0
592,1.18972136022046,0.27,27,1
593,1.29041854260112,0.2,0,0
594,1.7958077759971,0.38,0,1
595,1.16248032439682,0.39,27,0
596,0.361257957046007,0.49,0,5
597,5.12971771317871,0.6,32,1
598,5.92331189936993,0.27,0,2
599,2.17103377693786,0.31,0,0
600,0.609293161223945,0.28,0,0
601,0.302175139467749,0.59,1,30
602,0.435908898614798,0.4,0,0
603,0.280081156521646,0.23,0,0
604,6.18770198947061,0.47,7,6
605,0.888643809745759,0.24,0,9
606,1.29081528996107,0.6,7,21
607,5.11574929027097,0.24,0,1
608,0.34034050033182,0.5,0,0
609,0.603778032218656,0.58,0,0
610,2.08225182993408,0.2,0,0
611,2.18704866260873,0.2,0,0
612,3.13239956812583,0.55,0,0
613,1.38278977676572,0.35,4,4
614,1.29655778998097,0.5,40,0
615,1.67253549610371,0.51,0,0
616,1.63019247371471,0.38,0,0
617,2.66796481978952,0.38,0,0
618,1.28521483731822,0.2,3,4
619,4.02472179970982,0.43,0,0
620,0.624635947418255,0.57,0,12
621,1.9815449214351,0.22,0,0
622,5.75559204979061,0.59,17,21
623,1.06558165224362,0.2,32,0
624,1.76473649073182,0.23,0,0
625,7.40028919833503,0.24,1,1
626,6.20060660281956,0.28,0,0
627,0.397262384638452,0.24,0,0
628,2.13727605593698,0.51,14,22
