"comparison","chisq","df","p","logLik_reduced","logLik_full"
"signed error LMM, ML",2.33842373357743,5,0.800607322803213,258.351469558708,259.520681425497
"unsigned accuracy Gamma GLMM, glmer (degenerate)",2.12886170503862,5,0.831042584350868,-2903.05031528795,-2901.98588443543
"unsigned accuracy Gamma GLMM, glmmTMB",2.06745368030624,5,0.83973502780429,-2913.57491317205,-2912.54118633189
