"contrast","estimate","SE","df","z.ratio","p.value"
"Drum - Flute",0.0624141817497083,0.00371798854772354,Inf,16.7870828402426,0
"Drum - Speech",0.0644560701559567,0.00356145626680731,Inf,18.09823435337,0
"Drum - Pink Noise",0.10038661579386,0.0036428368206407,Inf,27.557263950188,0
"Flute - Speech",0.00204188840624835,0.00515251549973354,Inf,0.396289619381824,0.978917185465288
"Flute - Pink Noise",0.0379724340441513,0.00518729893451947,Inf,7.32027101647438,1.51245682644685e-12
"Speech - Pink Noise",0.0359305456379029,0.0050698066165329,Inf,7.08716295424988,8.24273982402701e-12
