"model","ks_D","ks_p","disp_ratio","disp_p","n_outliers","outlier_p","quantile_p"
"glmmTMB Gamma",0.0473333333333333,0.0713127965613485,1.10147190152222,0.468,4,0.372,0.506091009606963
"glmer Gamma bobyqa",0.0660967741935484,0.003004624256298,0.752299894419067,0.21,2,1,0.0100113344096238
"glmer Gamma nloptwrap",0.0686021505376344,0.00181846898840882,0.759630161807731,0.21,2,1,0.00355108145294813
