"window","early_cm","late_cm","pct_change"
"trials 1-12 vs 13-24",27.2157293884985,25.1529334032087,-7.57942569109141
"trials 1-6 vs 19-24",28.3535467014518,24.0071394273671,-15.3293248278606
"trials 1-4 vs 21-24",28.8789151368603,24.6837905775155,-14.5266002530346
"trial 1 vs trial 24",38.5768720411485,26.364331876078,-31.6576734164551
"LMM-predicted trial 1 vs 24",30.7828831829464,25.9656542543121,-15.6490504804406
