"model","slope","se","p","AIC"
"LMM, homoscedastic (published)",0.0268188438026484,0.129454216596942,0.835937453813377,1195.30014418937
"LME, varPower(disparity)",-0.066086046129171,0.106929009618589,0.536748819132776,1047.25862047605
