soundType,sound_y.trend,SE,df,lower.CL,upper.CL
Drum,0.39830982527308584,0.0492228404792221,726.989875447717,0.30167394639729245,0.49494570414887923
Flute,0.4946532447779428,0.05121270878089894,723.2433412598613,0.3941099233045441,0.5951965662513415
Speech,0.38892603961935784,0.049640600240441285,722.9328071320905,0.29146908917550135,0.48638299006321434
Pink Noise,0.3687330255133115,0.05070518951659453,718.3505303175324,0.26918495439809753,0.46828109662852546
