"measure","n","mean","sd","min","q25","median","q75","max"
"cue eccentricity, all samples (deg)",251666,51.2373013226463,38.1286822550444,0.021162369628837,20.7773394690352,40.3928366994086,74.0825058311287,179.70880594134
"per-trial time-weighted mean cue eccentricity (deg)",744,49.2022917729792,17.8324271898284,8.1640885743983,37.0139342527679,48.7074003855437,60.6714210681469,132.1755505327
"per-trial median cue eccentricity (deg)",744,41.9933217697954,20.7385293365301,5.74774658172287,26.5134794898023,38.6313223295208,53.1183934443621,134.226898657868
"per-trial minimum cue eccentricity (deg)",744,6.10226420271563,7.72909539625153,0.021162369628837,1.71915698088851,3.45046725932711,8.50167003538418,129.463156720616
"cue eccentricity at trial onset (deg)",744,69.7765924943049,39.3400326283175,3.60554386066387,38.600977122427,62.9265500771108,99.1540519335722,179.70880594134
"per-trial fraction of time cue within 55 deg",744,0.647419679856897,0.196281186072264,0,0.516267122123194,0.648406789552899,0.803966785037742,1
"source eccentricity, all samples (deg)",251666,60.261362717293,39.4149419097517,0.0980876668520775,28.2045873949666,51.3897201016036,86.9666179599389,179.892788316064
"per-trial fraction of time source within 55 deg",744,0.542885244479678,0.200157177795452,0,0.408739302254373,0.545211113408853,0.684354829830862,1
