"check","n","estimate","se","df","t","p","clean_fit"
"full sample (B1)",744,0.335877112555785,0.065959196949218,32.3476651357204,5.09219529786539,1.47861721250391e-05,TRUE
"onset angular disparity <= 90 deg",721,0.384422609234615,0.0673721759480999,33.5360856733414,5.70595507455117,2.17356730223357e-06,TRUE
"onset angular disparity <= 60 deg",672,0.378972447099611,0.0637553541358264,20.4955381787048,5.94416660743875,7.40862636231626e-06,TRUE
"excluding the 6 revisited trials",738,0.337124886428116,0.065888892394975,32.4531964439478,5.11656630084477,1.36544881163998e-05,TRUE
"final-pose frame (response and disparity)",744,0.468057617408486,0.105491962920297,29.7042735258758,4.43690310097007,0.000115654317805709,TRUE
"matched time-weighted frame (B2m)",744,0.429356930472992,0.0671959116308299,29.2693968153789,6.38962877431966,5.27491231376524e-07,TRUE
