"model","term","unit","estimate","se","df","t","p","wald_lo","wald_hi","satt_lo","satt_hi","prof_lo","prof_hi"
"A0pub published: signed error (m) per m of nominal disparity","stimulusDisparity_m","m per m",0.346596423664192,0.0535140824337653,30.5049898097573,6.47673300001314,3.4313736673796e-07,0.241710749428304,0.451482097900079,0.237381904323759,0.455810943004625,0.238818223793122,0.451899056267808
"A1: signed error (m) per deg of onset angular disparity","angDisp_onset_cm","m per deg",0.00120837524791101,0.000335032697834251,25.2651872130344,3.60673825486975,0.00133380094399558,0.000551723226512588,0.00186502726930943,0.000518729539158929,0.00189802095666309,0.000550214493283561,0.00191495747819941
"A2: signed error (m) per deg of time-weighted mean angular disparity","angDisp_mean_cm","m per deg",0.00273954058122388,0.000442004249759858,26.2187336515075,6.19799602088052,1.42762463518817e-06,0.00187322817068091,0.00360585299176685,0.00183135659579728,0.00364772456665048,0.00184076138795742,0.00360903430814835
"B0: angular response (deg) per m of nominal disparity","stimDisp_cm","deg per m",24.3859759103635,6.45721059519445,32.5442355894785,3.77654957211895,0.000641154417621413,11.730075703192,37.0418761175351,11.2416893438173,37.5302624769098,11.3581079939715,37.0708437508692
"B1 PRIMARY: angular response (deg) per deg of onset angular disparity","angDisp_onset_cm","deg per deg",0.335877112555785,0.065959196949218,32.3476651357204,5.09219529786539,1.47861721250391e-05,0.206599462086134,0.465154763025437,0.201579234679753,0.470174990431817,0.205993251900383,0.468058854619012
"B2: angular response at onset (deg) per deg of time-weighted mean angular disparity","angDisp_mean_cm","deg per deg",0.322979874537543,0.061295191640988,31.1454788433282,5.26925303422278,9.79317245687733e-06,0.202843506495726,0.44311624257936,0.197991169759458,0.447968579315628,0.201028073681652,0.444259158732932
"B2m MATCHED: time-weighted angular response (deg) per deg of time-weighted mean angular disparity","angDisp_mean_cm","deg per deg",0.429356930472992,0.0671959116308299,29.2693968153789,6.38962877431966,5.27491231376524e-07,0.297655363768229,0.561058497177755,0.291980783373743,0.566733077572241,0.294077905399716,0.561719787888067
