"participantId","mean_rate","mean_path","mean_duration","mean_rt","mean_error_m"
"P001",0.131708473240756,5.35874395542795,42.29575,42.4086519877116,0.457387994130452
"P002",0.245489242262786,13.4167724425529,54.8972083333333,55.012051264445,0.251664231022199
"P003",0.128793884068904,6.03064557069108,49.4950833333333,42.7051798502604,0.462604748805364
"P004",0.189201010835663,5.4530662841341,28.5314166666667,28.6452865600586,0.241076532204946
"P005",0.146359157882783,6.03734739499448,40.92175,41.0350354512533,0.316541241407394
"P006",0.166780086332062,6.17542048755641,37.3282916666667,37.4413070678711,0.42090616663297
"P007",0.261263811366833,7.83173701103445,30.260375,30.3736991882324,0.289650436242421
"P008",0.22715662241695,8.92589071187201,45.7406666666667,31.5745623906453,0.204173421859741
"P009",0.212101085431804,8.68049163251044,41.3095833333333,41.4237591425578,0.200294410785039
"P010",0.221473271789941,7.52076073335283,35.5999583333333,35.713103612264,0.32146599650383
"P011",0.263376064636887,8.08639143297992,30.7219166666667,30.8327315648397,0.241794192989667
"P012",0.204622021732864,8.25807621273955,46.708125,46.8184178670247,0.33505426933368
"P013",0.260112170122051,5.87233013252367,22.1591666666667,22.2727521260579,0.188905721108119
"P014",0.225396016150463,7.64473376728944,34.0790833333333,34.1913331349691,0.244865238666534
"P015",0.245630428205007,4.86215114396628,19.3752083333333,19.4885050455729,0.238196675380071
"P016",0.220833730150854,4.58297445160427,20.3788333333333,20.4901053110758,0.229510575309396
"P017",0.222983414929553,4.79018582380066,20.91425,21.0290625890096,0.249098755121231
"P018",0.222344021126479,5.51579887160029,24.1378333333333,24.2515977223714,0.21167648990949
"P019",0.248593654545054,8.31074972481084,32.2077916666667,32.3209729194641,0.248915601571401
"P020",0.217702408364951,7.40551044139779,33.9674166666667,34.0816144943237,0.2351451643308
"P021",0.267601542180736,5.40404552912388,19.90375,20.0173432032267,0.201084097425143
"P022",0.279376089219511,8.63972033442584,31.0505416666667,31.1619650522868,0.198102107445399
"P023",0.235122369183056,11.7150142787771,51.224375,51.338072458903,0.222782537142436
"P024",0.235592979928097,7.3460645332237,31.0628333333333,31.1759401957194,0.165233721534411
"P025",0.226737454256408,15.1421190276243,69.2110416666667,69.3253275553385,0.203184358676275
"P026",0.282208067693732,21.977447102161,79.627875,79.7413323720296,0.29406126777331
"P027",0.238207419849005,6.61298001370685,28.0900833333333,28.2012672424316,0.253724211057027
"P028",0.201816417769129,8.40052250427772,43.31575,43.4309857686361,0.370422966877619
"P029",0.253039429607602,6.00891136352825,24.835,24.9467016855876,0.19486174484094
"P030",0.263251876394634,14.9912661512117,62.553875,54.1422754923503,0.238026045163472
"P031",0.297573435993901,12.2257688412044,41.561125,41.6742146809896,0.186731811463833
