pct,log_yrange,y_range_m,estimate,se,ci_lo,ci_hi
5%,-1.789627461273164,0.07969245,-0.0341171425011258,0.06470320063050886,-0.16093541573692316,0.09270113073467157
10%,-1.4625820676137606,0.1047826,0.04560039068084498,0.05675391122326852,-0.0656372753167613,0.15683805667845127
25%,-0.7359187613615339,0.19248400000000004,0.22272505701572864,0.04143970205715485,0.14150324098370515,0.30394687304775214
50%,0.26285826669800394,0.44402850000000005,0.46617762482240294,0.03307809309370541,0.40134456235874033,0.5310106872860655
75%,0.8564187868879216,0.7297057500000002,0.6108583981373923,0.0389319729651675,0.534551731125664,0.6871650651491206
90%,1.0655877081011162,0.8693063000000001,0.6618434624150908,0.04248430999197487,0.5785742148308202,0.7451127099993615
