"contrast","estimate","tukey_lo","tukey_hi","tukey_width","unadj_lo","unadj_hi","unadj_width","tukey_hi_pct_of_pooled","unadj_hi_pct_of_pooled"
"Drum - Flute",0.0253590801758861,-0.282974596754471,0.333692757106243,0.616667353860715,-0.209718472259279,0.260436632611051,0.47015510487033,96.2770407038975,75.1411822543601
"Drum - Speech",0.0499127996034246,-0.241763323073886,0.341588922280735,0.583352245354622,-0.172464069790025,0.272289668996874,0.444753738786898,98.5552424320436,78.5610205405693
"Drum - Pink Noise",0.162678411989067,-0.124422135754662,0.449778959732797,0.574201095487459,-0.0562104894535543,0.381567313431689,0.437777802885243,129.770234120377,110.089808616503
"Flute - Speech",0.0245537194275384,-0.292990203607739,0.342097642462816,0.635087846070555,-0.217546024383609,0.266653463238686,0.484199487622295,98.7020183887704,76.9348623467196
"Flute - Pink Noise",0.137319331813181,-0.172967997085226,0.447606660711588,0.620574657796814,-0.0992476091024914,0.373886272728854,0.473133881831345,129.143482364961,107.87367460506
"Speech - Pink Noise",0.112765612385643,-0.182901291799188,0.408432516570473,0.591333808369661,-0.112654839651426,0.338186064422711,0.450840904074137,117.840957543262,97.5734498173413
