"fit","estimate","se","statistic","df","p"
"glmmTMB gaussian on log(y), ML (the correct log-normal MLE)",-0.00818646687805481,0.00293017989678126,-2.79384446226236,NA,0.00520855238523728
"lmerTest on log(y), ML",-0.00818647115523992,0.00293017396107705,-2.79385158150501,713.134321523564,0.00534822028071851
"lmerTest on log(y), REML",-0.00818693724675376,0.00295080423319105,-2.77447658325346,703.261533346455,0.00567578364416935
"glmmTMB lognormal() as called",-0.00353351993733517,0.00213931364541067,-1.65170728701488,NA,0.0985942364593476
