"predictor","label","r","ci_lo","ci_hi","p_value"
"mean_rate","mean movement rate (m/s)",-0.735526497896099,-0.864543603330708,-0.515553238614911,2.42932268876253e-06
"mean_path","mean path length (m)",-0.127244937679702,-0.460808146106041,0.237817913050952,0.495152496983374
"mean_duration","mean trajectory duration (s)",0.240114851449612,-0.124847591850952,0.547843198162494,0.19322563106985
"mean_rt","mean response time (s)",0.239252494766003,-0.125748145147845,0.547202556146956,0.194878365948964
