"subset","optimizer","n","est","se","df","t","p","resid_sd","sd_int","sd_slope","corr_is","singular","rcond_vcov","rcond_hess","min_eig_hess","warnings","pct_change","shift_in_base_se"
"full","bobyqa",744,0.346596423664192,0.0535140824337653,30.5049898097573,6.47673300001314,3.4313736673796e-07,0.16412226086477,0.0444904683473525,0.190145342451763,-0.555897943165047,FALSE,0.0162493351110049,0.0343816282253516,5.03965875736247,"none",0,0
"full","Nelder_Mead",744,0.346596458861681,0.0535140179611426,30.5049350090556,6.4767414607767,3.43132143403052e-07,0.164122265347505,0.0444903165323868,0.190144782744393,-0.555894210641608,FALSE,0.0162493924261344,0.0343775819218909,5.03904960526584,"none",1.01551797286325e-05,6.57723876694989e-07
"full","nloptwrap",744,0.346596504860331,0.053513919127702,30.5048863853623,6.47675428206326,3.4312242950844e-07,0.164122281428654,0.0444898451383412,0.190143913777402,-0.555889021030664,FALSE,0.0162494428016025,0.0343797181037053,5.03929383724797,"none",2.34267100938996e-05,1.517285463469e-06
"rt_ge_3","bobyqa",743,0.352016156511693,0.0522475665573836,30.3853038829116,6.73746510519438,1.69830600855532e-07,0.160750849427765,0.0402894937753489,0.184793712599881,-0.497379855632433,FALSE,0.0170949798698171,0.0339341860219095,4.24085755913,"none",1.56370131872798,0.101276759331696
"rt_ge_3","Nelder_Mead",743,0.352016177393393,0.0522475288574675,30.3852487573197,6.73747036637277,1.69829702671048e-07,0.160750852896202,0.0402893914815062,0.184793382666451,-0.497377348293433,FALSE,0.0170950120204303,0.0339335715301846,4.24077411281035,"none",1.56370734351624,0.101277149541145
"rt_ge_3","nloptwrap",743,0.352016368685423,0.0522472020404798,30.3848410892737,6.73751617192227,1.69819833125194e-07,0.160750868292904,0.0402886951149481,0.184790543912839,-0.497353190861173,FALSE,0.0170953625224906,0.0339307806636504,4.24050263058118,"none",1.56376253509249,0.101280724152177
"err_3sd","bobyqa",727,0.317545540840044,0.0503353382294558,30.2868117540803,6.30860051823828,5.6628371363393e-07,0.142029955773471,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,0.0202418719350444,0.0257865133881383,3.97658997884337,"none",-8.38176069938168,-0.542864261198986
"err_3sd","Nelder_Mead",727,0.317545518930988,0.0503353912009686,30.2868238679842,6.30859344398772,5.66293889638208e-07,0.142029948876426,0.0428094420852689,0.194477545238149,-0.412494427943107,FALSE,0.0202418272733068,0.0257872153772199,3.97668552989814,"none",-8.38176702058251,-0.542864670606286
"err_3sd","nloptwrap",727,0.317545485692086,0.0503355174256111,30.2866433560339,6.30857696379846,5.66334703165568e-07,0.142029915564794,0.0428105943852697,0.194478570703415,-0.412505977022275,FALSE,0.0202418041268383,0.025787747704973,3.97686824857762,"none",-8.38177661067049,-0.542865291730679
"signed_3sd","bobyqa",731,0.30912539945263,0.050918276932889,29.7178931469703,6.07101060902083,1.18775998925826e-06,0.141677076330848,0.0384982198623426,0.199721191108856,-0.558476988855531,FALSE,0.0164373206207635,0.0340529736760817,4.46282470787716,"none",-10.8111398886986,-0.700208664848924
"signed_3sd","Nelder_Mead",731,0.310424314388278,0.0470308870387001,35.2833386098815,6.60043503183006,1.21328790225282e-07,0.142359138028304,0,0.167297286832882,NA,TRUE,0.0190395895759534,NA,NA,"boundary (singular) fit: see help('isSingular')
 | Model failed to converge with 1 negative eigenvalue: -3.3e-01",-10.4363769520483,-0.675936270059078
"signed_3sd","nloptwrap",731,0.310424321054895,0.0470308331513896,35.6839660356689,6.60044273627169,1.15051816407168e-07,0.14235915310858,0,0.167296794566399,NA,TRUE,0.019039572825041,NA,NA,"boundary (singular) fit: see help('isSingular')
 | Model failed to converge with 1 negative eigenvalue: -2.8e-01",-10.436375028596,-0.67593614548221
"both","bobyqa",727,0.317545540840044,0.0503353382294558,30.2868117540803,6.30860051823828,5.6628371363393e-07,0.142029955773471,0.0428092482151443,0.194477118795024,-0.41249076741987,FALSE,0.0202418719350444,0.0257865133881383,3.97658997884337,"none",-8.38176069938168,-0.542864261198986
"both","Nelder_Mead",727,0.317545518930988,0.0503353912009686,30.2868238679842,6.30859344398772,5.66293889638208e-07,0.142029948876426,0.0428094420852689,0.194477545238149,-0.412494427943107,FALSE,0.0202418272733068,0.0257872153772199,3.97668552989814,"none",-8.38176702058251,-0.542864670606286
"both","nloptwrap",727,0.317545485692086,0.0503355174256111,30.2866433560339,6.30857696379846,5.66334703165568e-07,0.142029915564794,0.0428105943852697,0.194478570703415,-0.412505977022275,FALSE,0.0202418041268383,0.025787747704973,3.97686824857762,"none",-8.38177661067049,-0.542865291730679
