"comparison","model","df","logLik","AIC","BIC","dAIC"
"GAMM ML","GAMM s(disparity, k=6)",10,264.236319355546,-508.472638711093,-462.352228362762,2.00000029780358
"GAMM ML","LMM linear disparity",9,264.236319504448,-510.472639008896,-468.964269695398,0
"parametric shapes (ML LMM)","linear",9,264.236319503842,-510.472639007684,-468.964269694186,1.49369842458213
"parametric shapes (ML LMM)","quadratic",10,264.794161499997,-509.588322999993,-463.467912651663,2.37801443227272
"parametric shapes (ML LMM)","log",9,264.983168716133,-511.966337432266,-470.457968118768,0
"parametric shapes (ML LMM)","sqrt",9,264.930754458791,-511.861508917582,-470.353139604084,0.104828514684073
