"term","b_lognormal","se_lognormal","p_lognormal","b_lmer_reml","se_lmer_reml","p_lmer_reml","b_lmer_ml","se_lmer_ml","p_lmer_ml"
"participant_mean_rate",-2.56268279950948,0.637964834205218,5.89523231420054e-05,-4.60809944954555,0.870631543129096,1.12485441530637e-05,-4.60811803264161,0.841996115655894,5.53839852998411e-06
"trial_rate_deviation",1.04940678734012,0.363805424758658,0.00392001400306861,0.888586568688447,0.452672316977542,0.0500401928227846,0.888663494305898,0.45076532824967,0.0490581134597959
