axis,semipartial_R2_source,boot_lo,boot_hi
vertical y,0.07087367345542694,0.0414186236477139,0.10259486305944249
lateral x,0.14027044288050072,0.10083709245292588,0.18167196969920935
depth z,0.10627012229723498,0.07174944513529752,0.14420767157966508
