"binning","bin","n","disp_mean_m","signed_mean_cm","signed_sd_cm","signed_med_cm","bias_mean_pct","bias_sd_pct","bias_med_pct","bias_iqr_pct"
"published 3-bin","Short (15-30cm)",238,0.220000000060106,7.93374100152137,16.4002940970395,7.21564765454648,35.0463032201245,74.8980247931731,34.0526130165377,66.1170977892134
"published 3-bin","Medium (30-40cm)",246,0.351544717220756,13.555876724413,17.1134899723929,12.6587088820486,38.2748113458294,48.067812623502,33.9866355607325,45.5140838477004
"published 3-bin","Long (40-70cm)",260,0.550153846694873,19.0292086309239,19.9236117704722,17.8985313398707,34.345601081645,35.1713470702689,34.5293801419604,42.6931252011399
"quintile","[0.15,0.24]",164,0.198048780604107,6.84070533361741,15.684092267456,7.16107073747777,33.8254650962516,79.3640805159944,35.3283677666852,73.9978077196074
"quintile","(0.24,0.33]",144,0.291944447904825,11.2547688706905,17.096257886208,8.69094857212699,37.9607243835096,58.10843534508,29.4648647260578,52.347294293394
"quintile","(0.33,0.38]",148,0.360810813066122,12.7330893952002,17.1754909606859,13.131959734186,35.2358940511647,47.0164387896783,36.2240033196287,41.1138108675814
"quintile","(0.38,0.52]",142,0.449859149439234,15.9951169389443,15.9607291710133,16.5492071434542,36.2899034837464,37.2926557736593,35.4078758307067,41.3738421467592
"quintile","(0.52,0.7]",146,0.616986304929812,22.4123564979143,22.2664043311187,19.9697144623977,36.3334303932628,35.8297214728188,33.7977748860597,45.3024891065582
