measure,subset,n,n_participants,b_source,ci_lo,ci_hi,p_source,b_cue
world_metres,source near the median plane,372,31,0.390977514466638,0.3013687072276159,0.48058632170566007,3.2801627413669782e-16,0.4280068692401353
head_elev_deg,source near the median plane,372,31,0.24155984528790247,0.17242547630403665,0.3106942142717683,3.138191750979207e-11,0.3155477720506788
world_metres,source lateral,372,31,0.45072605124970366,0.3567216690370022,0.5447304334624051,6.165195727319336e-19,0.3794521021671678
head_elev_deg,source lateral,372,31,0.24537684554850006,0.17561080626138925,0.31514288483561087,2.4083793776950724e-11,0.23500906739332492
