frame,model,n,b_source,se_source,ci_lo_source,ci_hi_source,t_source,df_source,p_source,beta_std_source,b_cue,se_cue,ci_lo_cue,ci_hi_cue,p_cue,beta_std_cue,R2m_full,R2m_no_source,dR2m_source,chisq_source,p_lrt_source
onset,head-frame elevation in degrees [onset],744,0.4112501552290625,0.028944490435313476,0.354519996424984,0.467980314033141,14.208236145947842,732.8667956531924,1.2032680640680157e-40,0.4265884243109154,0.43855181381121217,0.0273862585949829,0.3848757332937452,0.49222789432867914,1.1890731100003308e-49,0.47943856740455476,0.7179414124917683,0.6422684074684957,0.07567300502327268,177.96708416944693,1.3467964714721312e-40
tw,head-frame elevation in degrees [tw],744,0.24521972859746735,0.024904589964340987,0.19640762921762137,0.29403182797731336,9.846366832322037,736.5450720331792,1.4230798824710982e-21,0.3298714125146572,0.2799533079914635,0.02957119348960327,0.2219948337719758,0.3379117822109512,3.746388763613792e-20,0.31993699204045833,0.2886355821294587,0.19305949815838253,0.0955760839710762,91.22321046977504,1.2834591489620003e-21
final,head-frame elevation in degrees [final],744,0.1985822178017483,0.02637099971384096,0.14689600812630396,0.25026842747719263,7.53032573495958,737.57163369549,1.4812354185333908e-13,0.26791265725657637,0.27505473869550684,0.03388119717072126,0.20864881248779282,0.34146066490322086,1.986684827268484e-15,0.28826063581666506,0.2262282003170889,0.16109729863267844,0.06513090168441046,54.85282700467269,1.2990177824404797e-13
