"model","var_fixed","var_random","var_resid","R2m","R2c"
"M0 baseline",0.00278941093826606,0.00440527675444632,0.0269361165113638,0.0817270791976513,0.21079748516014
"M1 disparity x soundType",0.00288416567506908,0.00438580550558394,0.0269591414635021,0.0842606031027676,0.212391459171946
"M2 trial",0.00287576230769336,0.00443274196157183,0.0269143690910323,0.0840304166578128,0.213556126404743
"M2 random trial slope",0.00291026284858436,0.00494618755807384,0.0263637080273783,0.0850452768707731,0.229585448056953
