"term","b_lognormal","se_lognormal","p_lognormal","b_loglmer","se_loglmer","p_loglmer"
"stimDisparity_c",0.702415302685997,0.0972386934818173,5.06218495633649e-13,1.15122346433382,0.138334478827517,4.45471017225009e-16
"soundTypeFlute",-0.0699561607695528,0.0422235498308472,0.0975590385305106,-0.0747900647828201,0.0576357479111183,0.194838939613903
"soundTypeSpeech",-0.0465379864407814,0.0412917766006056,0.259720423949538,-0.074901684860458,0.0578514810065477,0.195840455571788
"soundTypePink Noise",-0.0513440290773457,0.0420019137120733,0.221548392423762,-0.0790165988022457,0.0574645341169012,0.169554016631723
"trialSequence_c",-0.00353351993733517,0.00213931364541067,0.0985942364593476,-0.00818693724675376,0.00295080423319105,0.00567578364416935
