"spec","within_est_per10pp","within_se_per10pp","within_df","within_p","between_est_per10pp","between_p","singular","warnings"
"(1|pid)  [as reported]",0.73221580130572,0.376816981031182,708.007513086845,0.0523927920293579,1.48932789482032,0.195225195646151,FALSE,"none"
"(1+disparity|pid)  [primary RE]",0.7648451472548,0.374014679972882,707.819184702745,0.0412281025484194,1.19508915304116,0.247896084110759,FALSE,"none"
"(1+frac_within|pid)  [maximal]",0.724809736700101,0.532980115704216,29.000978361227,0.184334676268547,1.88959784397754,0.0930604786433056,FALSE,"none"
"(1+frac_within+disparity|pid)",0.6866979546404,0.553780680922045,28.5077825223599,0.225078968154752,1.3064633236892,0.196269266441076,FALSE,"none"
"(1|pid) + duration",0.815215596544769,0.376113514257154,706.889995214341,0.0305320130466537,1.75445373193268,0.154116218863872,FALSE,"none"
