"model","intercept_sd","slope_sd","corr","residual_sd"
"M1 metric (per m)",0.0444904683473525,0.190145342451763,-0.555897943165047,0.16412226086477
"M2 angular (per 10 deg)",0.0621241180625758,0.0164808061516637,-0.49840301866697,0.16328263653995
