"subset","n_trials","n_participants","n_dropped","intercept_m","slope_m_per_m","slope_se","slope_df","slope_t","slope_p","slope_ci_lo","slope_ci_hi","sd_intercept","sd_slope","sigma","is_singular","warnings","slope_change_pct","slope_change_in_base_se"
"full (published primary model)",744,31,0,0.00867386439048672,0.346596423664192,0.0535140824337653,30.5049898097573,6.47673300001314,3.4313736673796e-07,0.241710749428304,0.451482097900079,0.0444904683473525,0.190145342451763,0.16412226086477,FALSE,"none",0,0
"exclude responseTime_s < 3 s",743,31,1,0.00659777816359891,0.352016156511693,0.0522475665573836,30.3853038829116,6.73746510519438,1.69830600855532e-07,0.249612807779362,0.454419505244024,0.0402894937753489,0.184793712599881,0.160750849427765,FALSE,"none",1.56370131872798,0.101276759331696
"exclude unsigned error > mean + 3 SD",727,31,17,0.00619352414181753,0.317545540840044,0.0503353382294558,30.2868117540803,6.30860051823828,5.6628371363393e-07,0.218890090760669,0.41620099091942,0.0428092482151443,0.194477118795024,0.142029955773471,FALSE,"none",-8.38176069938168,-0.542864261198986
"exclude signed error beyond +/- 3 SD",731,31,13,0.0231456914683638,0.30912539945263,0.050918276932889,29.7178931469703,6.07101060902083,1.18775998925826e-06,0.209327410509331,0.408923388395929,0.0384982198623426,0.199721191108856,0.141677076330848,FALSE,"none",-10.8111398886986,-0.700208664848924
"exclude both (RT < 3 s and unsigned error > mean + 3 SD)",727,31,17,0.00619352414181753,0.317545540840044,0.0503353382294558,30.2868117540803,6.30860051823828,5.6628371363393e-07,0.218890090760669,0.41620099091942,0.0428092482151443,0.194477118795024,0.142029955773471,FALSE,"none",-8.38176069938168,-0.542864261198986
