"method","n","slope","ci_low","ci_high"
"LMM (1|participant)",744,0.0268188440918202,-0.226908358983469,0.280845237322577
"LMM, 5/95 trimmed",668,0.101781154743243,-0.0536918931955827,0.257084212775956
"rq tau=0.25 (FE)",744,0.405209610000445,0.175184588116934,0.635234631883955
"rq tau=0.50 (FE)",744,0.0382466348419311,-0.194595856837596,0.271089126521459
"rq tau=0.75 (FE)",744,-0.262982865992524,-0.474372411780245,-0.0515933202048026
