"contrast","ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"Drum / Flute",1.06243958754837,0.0573866974944252,Inf,0.924783032891508,1.22058670741461,1,1.12133282229858,0.676339803080749
"Drum / Speech",1.06496612366361,0.057635223869804,Inf,0.926731667930667,1.22382010219159,1,1.16304140858756,0.650232045688472
"Drum / Pink Noise",1.10401267816092,0.0592464675108067,Inf,0.961832662400847,1.26721002642775,1,1.84388436360674,0.252757535521573
"Flute / Speech",1.00237805155686,0.0548251201282709,Inf,0.870978401840665,1.15360123295772,1,0.0434267517734934,0.999970605226838
"Flute / Pink Noise",1.03912983956903,0.0560310720116478,Inf,0.904709421656218,1.19352224884098,1,0.711848187689646,0.892446133444411
"Speech / Pink Noise",1.0366645977085,0.0560721608105971,Inf,0.902173938238501,1.19120431503535,1,0.665725669073361,0.90998776634699
