"model","term","estimate","se","z","p","ci_lo","ci_hi","pct_per_0.1ms","pct_lo","pct_hi"
"glmer_published_degenerate","participant_mean_rate",-4.61566163769889,0.00428960792158031,-1076.01014406894,0,-4.62406926922519,-4.6072540061726,-36.9704274243194,-37.0233980954525,-36.9174121986706
"glmer_published_degenerate","trial_rate_deviation",0.336276271359612,0.00428733740285546,78.434757930562,0,0.327873090050015,0.344679452669209,3.41994272146702,3.33307357246759,3.50688489886661
"glmmTMB_metres","participant_mean_rate",-4.61532733728015,0.830188239377658,-5.55937451094223,2.70743178343963e-08,-6.24249628646036,-2.98815838809994,-36.9683203078486,-46.4336775909076,-25.8304011525795
"glmmTMB_metres","trial_rate_deviation",0.328969948158342,0.398720812333305,0.82506339770231,0.409335598661273,-0.452522844014936,1.11046274033162,3.34440836604988,-4.42436709986058,11.7446614419783
"glmmTMB_cm","participant_mean_rate",-4.61532306781846,0.830188036343196,-5.55937072780281,2.70749046535711e-08,-6.24249161905112,-2.98815451658579,-36.9682933967086,-46.433652589307,-25.8303724377088
"glmmTMB_cm","trial_rate_deviation",0.328970657453087,0.398720816245429,0.825065168532843,0.409334593355471,-0.452522142387953,1.11046345729413,3.34441569621471,-4.42436039401605,11.7446694536518
"glmmTMB_plus_angDisp","participant_mean_rate",-4.2007378520305,0.753388629870197,-5.5757914116042,2.46407039065489e-08,-5.67737956657609,-2.72409613748492,-34.3001658729435,-43.3193870303719,-23.845774098532
"glmmTMB_plus_angDisp","trial_rate_deviation",0.264551662783065,0.397752953106917,0.665115521372264,0.505976607819562,-0.515044125306492,1.04414745087262,2.68082105961458,-5.02005410662701,11.0060751699399
"glmmTMB_plus_angDisp_rt","participant_mean_rate",-4.22452927466047,0.720171575961275,-5.86600390194743,4.46423293962511e-09,-5.63606556354457,-2.81299298577637,-34.4562893313856,-43.0847323362955,-24.5197609612468
"glmmTMB_plus_angDisp_rt","trial_rate_deviation",0.288863177105749,0.393175318295087,0.734693058451218,0.462526448807847,-0.481760446752622,1.05948680096412,2.93075737821564,-4.7033992281758,11.1764819379117
"glmmTMB_pooled_movement_rate","movement_rate",-0.226059688832044,0.399901870002477,-0.565287901331005,0.571877956564525,-1.0098673540369,0.55774797637281,-2.23523685237328,-9.60549767278396,5.73595370560316
