"x","y","n","pearson_r","pearson_ci_lo","pearson_ci_hi","pearson_t","pearson_df","pearson_p","spearman_rho","spearman_p"
"frac_time_cue_within_55deg","signedError_cm",744,0.0982824137512243,0.0265933636094064,0.168965711967512,2.69020565883993,742,0.00730136713967535,0.124502884604336,0.000665218390601516
"frac_time_cue_within_55deg","ventriloquistBias_pct",744,0.0712149754087915,-0.000665342235847399,0.142363171211373,1.94481081711751,742,0.0521752195326609,0.0881391369850567,0.0161833412942553
"cueEcc_mean_deg","signedError_cm",744,-0.0790277939164525,-0.150052367336921,-0.00719173297975687,-2.1594454293263,742,0.0311353816880134,-0.121714685990366,0.000885587901342147
"cueEcc_mean_deg","ventriloquistBias_pct",744,-0.0603279839904272,-0.131634105553459,0.0115992243900322,-1.64631337585465,742,0.100122709081234,-0.0944040604711594,0.0100047506682557
"frac_time_cue_within_55deg","participantError_cm",744,-0.0721970167907566,-0.143330145812063,-0.000321774626372641,-1.9717689609871,742,0.0490070519141465,-0.0533177977471351,0.146250444387947
