axis,n,b_source,src_lo,src_hi,p_source,b_cue,cue_lo,cue_hi
vertical y,149,0.06262451597944789,-0.06748368166722991,0.1927327136261257,0.34722957256190345,0.28636614929835086,0.18062932030337625,0.39210297829332547
lateral x,149,0.6876463177359481,0.5554247012414504,0.8198679342304458,9.251315554645716e-19,0.27294542470257294,0.1669834947509044,0.37890735465424147
depth z,149,0.5077130469944714,0.322642462717126,0.6927836312718167,2.940145575928815e-7,0.3958528102509857,0.26101348975852756,0.5306921307434438
