"participantId","trialSequenceNum","soundType","disparityRange","stimulusDisparity_m","signedError_m","participantError_m","head_onset_x","head_onset_y","head_onset_z","angDisp_onset_deg","angDisp_mean_deg","angDisp_median_deg","angDisp_min_deg","angDisp_max_deg","angDisp_range_deg","angDisp_final_deg","angResp_onset_deg","angResp_mean_deg","angResp_final_deg","angBiasProportion_onset","angBiasProportion_mean","dist_at_onset_m","dist_mean_m","dist_min_m","trial_has_revisit"
"P001",1,"Flute","Long (40-70cm)",0.400000005960464,-0.148262870856404,0.20122917175293,-0.033174,1.689888,-0.153292,11.8989721909228,12.2469787730148,11.0913383862947,2.01334108718372,45.3586938112099,43.3453527240261,10.9790643527658,1.85527133809337,-2.01196737618975,0.518368054139453,0.155918621232569,-0.164282751973323,0.740528136492446,0.862263299203867,0.142927442266098,FALSE
"P001",2,"Speech","Long (40-70cm)",0.610000014305115,0.22471551697652,0.315604934692383,-0.466116,1.62648,-0.267885,39.5247915876277,38.7536384325699,32.8936565075271,25.8886241428327,100.246828655892,74.3582045130593,31.1572371044989,35.8415328990861,21.6891666043338,11.7367675329039,0.906811433012222,0.559667878464425,0.500356140940405,0.849498156501367,0.253751430536436,FALSE
"P001",3,"Pink Noise","Long (40-70cm)",0.400000005960464,0.0448487747755056,0.437126922607422,-0.987041,1.598998,0.262357,18.3193306536015,25.0736273692543,23.4522903389596,4.33862146571967,68.003005087507,63.6643836217873,27.5373282256682,-24.0828799232497,-6.12508061381606,-2.6136892766689,-1.31461571269336,-0.244283785653077,0.996335549829305,0.884779889719989,0.203304775425898,FALSE
"P001",4,"Drum","Medium (30-40cm)",0.360000014305115,0.345773986239983,0.496441497802734,-0.508605,1.611213,0.84733,12.4134087388815,16.6528430842162,13.9469221541617,12.0649821880188,42.1528944739008,30.087912285882,14.305912581215,4.7483965705132,0.0589833069906972,-3.22248410978633,0.382521567636793,0.00354193615422957,1.38485462735372,1.14264700749572,0.536011861612181,FALSE
"P001",5,"Speech","Medium (30-40cm)",0.340000003576279,0.231537168887238,0.491123390197754,0.079598,1.667347,1.01992,11.1039658043184,22.8409068498915,22.0621530417098,7.9864887335724,50.340941257333,42.3544525237606,18.7936213042185,12.5153493249289,34.7658029010316,41.7659463101267,1.12710625604247,1.5220850524679,1.24343808320689,0.776120690995962,0.379084102066034,FALSE
"P001",6,"Flute","Long (40-70cm)",0.400000005960464,-0.134865131453791,0.391343002319336,0.09945,1.649786,0.155337,40.7080591350591,31.6778017234565,25.783995931811,20.4542589343144,57.5520286273156,37.0977696930012,20.6887155491528,-36.1580789621901,-36.4265015954668,-12.6092716263901,-0.88822900748539,-1.149906231293,0.421147956954916,0.74622015283211,0.300411139950278,FALSE
"P001",7,"Pink Noise","Short (15-30cm)",0.239999994635582,0.102743996690929,0.569456977844238,-0.391012,1.635116,0.697352,9.95821446186606,14.2877635040606,15.0994000868772,9.87375772393607,18.4072134773542,8.5334557534181,15.3015391031097,-15.4978218731518,1.47236800005853,28.8061154685116,-1.55628520880918,0.103050977827291,1.21200639466724,0.939093596191398,0.747084919786339,FALSE
"P001",8,"Pink Noise","Long (40-70cm)",0.400000005960464,0.483698291049143,0.684396896362305,-0.739195,1.620476,-0.236511,18.1086759998971,18.6548702306259,18.6157329984346,14.9920184275438,20.1590684250201,5.16704999747629,17.6395657849753,8.89688699818671,12.3327329404739,13.0759741874615,0.491305217357539,0.661099905172597,1.20950655898273,1.20313678545215,1.11892159408781,FALSE
"P001",9,"Pink Noise","Short (15-30cm)",0.239999994635582,-0.0211563704602215,0.902407379150391,-0.836881,1.685854,-0.197407,20.8234410835033,12.8947921623816,10.9601671715307,9.97260553073225,21.2379114565057,11.2653059257735,10.2281828501612,-31.8134192108184,23.3447393101932,29.6740436903352,-1.52776954986664,1.81040058778905,0.659008839006988,1.05009599388081,0.641901739198838,FALSE
"P001",10,"Flute","Medium (30-40cm)",0.379999995231628,0.496994366951576,0.549374084472656,-0.623882,1.653911,0.782922,18.4680339438474,23.449317199853,20.1819925206117,17.7911007595459,31.5298370455514,13.7387362860055,30.4072680114535,23.9714412344456,31.0742782239285,41.1417722663928,1.29799638160356,1.32516772062443,0.917748312800844,0.835882488974631,0.693081687225462,FALSE
"P001",11,"Drum","Medium (30-40cm)",0.360000014305115,-0.0277978146483918,0.150090961456299,-0.815173,1.713111,0.058629,11.2565478214769,20.3349874854873,16.7196041001496,0.432456203318597,56.8680548126343,56.4355986093157,26.5234358077175,-2.01498070110318,4.17841471447623,6.79621189481233,-0.17900520950648,0.205479089547425,0.530582808117967,0.387088880040221,0.176534580064498,FALSE
"P001",12,"Speech","Short (15-30cm)",0.280000001192093,0.616328493965148,0.65184814453125,-0.687812,1.70142,0.331518,13.2507330602616,13.8584588284498,13.7603960053619,5.66998906177748,23.3432316063415,17.673242544564,13.2430203565414,32.0640932745823,28.4317015681286,32.7529339471551,2.41979769185307,2.05157744595393,0.934215488258041,0.917064330264483,0.538890021530372,FALSE
"P001",13,"Speech","Short (15-30cm)",0.280000001192093,0.40141980507117,0.422104644775391,0.496614,1.694183,0.89805,19.8210434531752,18.8837266953913,19.9062746862654,11.5750088554321,30.3937041694991,18.818695314067,22.2498123901239,36.0422028878608,30.7809912205024,36.0597629268868,1.81838070094574,1.63002736255523,0.699466469403869,0.850915372638935,0.549405887144362,FALSE
"P001",14,"Flute","Short (15-30cm)",0.170000001788139,-0.307630562118364,0.42333251953125,-0.137942,1.685224,-0.113984,15.1874293427787,8.46444838946103,7.35811375341112,4.12810363756608,16.3589905873018,12.2308869497357,5.43976144718894,-31.2783527325409,-28.731776886592,-36.8046225037045,-2.05948959673107,-3.39440629378348,0.533882091236678,0.702068998644044,0.445017141167688,FALSE
"P001",15,"Flute","Short (15-30cm)",0.170000001788139,-0.0634198834634413,0.252464027404785,0.590324,1.67109,-0.115657,16.810219856013,18.0568560077452,17.1109849286216,11.2131282149523,39.1719698868765,27.9588416719242,11.2131282149523,0.509086144375873,-4.7850587857383,-7.18307602695144,0.0302843239848391,-0.264999553836272,0.587823283750973,0.543983755651413,0.237931542945212,FALSE
"P001",16,"Drum","Long (40-70cm)",0.600000023841858,0.0162813426432655,0.172608413696289,0.417853,1.595103,-0.641126,21.1727091841181,45.4006748802312,45.7701324309572,21.1727091841181,84.7441009216349,63.5713917375168,41.0146134112353,-2.45749305501699,2.48081413669622,-2.48631423804676,-0.116068899527529,0.0546426709127278,1.14725424416164,0.537104115092954,0.0713696717037236,FALSE
"P001",17,"Pink Noise","Long (40-70cm)",0.469999998807907,-0.046175523607712,0.38771167755127,-0.001412,1.64359,-0.143138,52.5071570150183,38.7830161299402,36.8002711650527,20.669715446014,58.940741836745,38.271026390731,22.5516770075519,-56.6607499215035,-17.4138506799462,12.3546754299575,-1.07910527140704,-0.449007127800532,0.44873414468242,0.616287225362795,0.435699199508917,FALSE
