"test","chisq","df","p_value","logLik_reduced","logLik_full"
"glmmTMB: +2 movement terms",21.9628991567499,2,1.70144159129195e-05,512.67170520426,523.653154782635
"glmer (published style): +2 movement terms",15.0216215139596,2,0.000547137313445689,523.194681798392,530.705492555372
"glmmTMB: participant_mean_rate",21.3722431060407,1,3.78207212433835e-06,512.967033229614,523.653154782635
"glmmTMB: trial_rate_deviation",0.679346631745375,1,0.409811799929962,523.313481466762,523.653154782635
"glmmTMB: pooled movement_rate",0.319657867237993,1,0.571813326771686,512.67170520426,512.831534137879
"glmer (published): pooled movement_rate",0,1,1,523.194681798392,522.70160469845
