"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value"
"Drum - Flute",0.0605677614219069,0.0540140805811348,Inf,-0.0781961280191923,0.199331650863006,1.12133282229858,0.676339803080749
"Drum - Speech",0.0629429898889154,0.0541193025666694,Inf,-0.0760912181767055,0.201977197954536,1.16304140858756,0.650232045688472
"Drum - Pink Noise",0.0989514316303784,0.0536646622659264,Inf,-0.0389147910553375,0.236817654316094,1.84388436360674,0.252757535521573
"Flute - Speech",0.0023752284670085,0.0546950524735834,Inf,-0.138138099405321,0.142888556339338,0.0434267517734934,0.999970605226838
"Flute - Pink Noise",0.0383836702084715,0.053921146211032,Inf,-0.100141467882619,0.176908808299562,0.711848187689646,0.892446133444411
"Speech - Pink Noise",0.036008441741463,0.0540890090532096,Inf,-0.10294794132543,0.174964824808356,0.665725669073361,0.90998776634699
