source,n,b_source_at_mean,b_interaction,se,p
above head height,316,0.3508936211132058,0.0795803907462019,0.06776431201779207,0.24115228340330788
below head height,428,0.3867205072393826,0.3028883755267273,0.06594150173040933,5.764735582685843e-6
