"section","model","df","logLik","AIC","BIC"
"gamm ML AIC","GAMM smooth",10,264.236319355546,-508.472638711093,-462.352228362762
"gamm ML AIC","GAMM linear",9,264.236319504448,-510.472639008896,-468.964269695398
"parametric shapes","linear",9,264.236319503842,-510.472639007684,-468.964269694186
"parametric shapes","quadratic",10,264.794161499997,-509.588322999993,-463.467912651663
"parametric shapes","log",9,264.983168716133,-511.966337432266,-470.457968118768
"parametric shapes","sqrt",9,264.930754458791,-511.861508917582,-470.353139604084
