"check","n","estimate","se"
"full sample (B1)",744,0.335877113382728,0.0659591977138695
"onset angular disparity <= 90 deg",721,0.384422609145358,0.0673721756976209
"onset angular disparity <= 60 deg",672,0.378972447558767,0.0637553532291524
"excluding revisited trials",738,0.337125062524671,0.0658889183283438
"final-pose frame",744,0.468057619977271,0.105491942258514
"matched time-weighted frame (B2m)",744,0.429356926340867,0.0671959221943608
