measure,n,mean,sd,min,q25,median,q75,max
angDisp_onset_deg,744,28.757692357238728,23.080523237209896,0.5619895117317515,14.257932965415934,22.17673652313706,35.762477695276985,146.6831818586707
angDisp_mean_deg,744,42.25234302016578,20.06958624784786,2.3556408363023293,25.971446883852455,40.53634228635735,55.04935729948448,115.50068707830096
angDisp_median_deg,744,37.286857522764585,20.100310085125376,2.4104648084769242,21.8412319621104,33.8586489825141,48.48433019592629,126.17450957228986
angDisp_min_deg,744,12.995897974709125,10.467074206701264,0.026106031014474475,5.235174434290791,10.875152067398364,18.620741616233886,82.74606670531949
angDisp_max_deg,744,104.06149349370378,47.65435375265462,5.380797026761042,62.204246713382915,104.73916916681316,148.42176533524608,179.07908749250282
dist_mean_m,744,0.5005253688158026,0.1568960055464286,0.1719119798693216,0.38824511932591077,0.48052252048381605,0.5873595441414021,1.2031367854521473
dist_min_m,744,0.17350447231022717,0.13672820772218627,0.003998460618741609,0.07238867448366093,0.1430076227884553,0.23044688816228687,1.1189215940878123
dist_at_onset_m,744,0.7046520494654618,0.29667029949624674,0.07816901622588361,0.48675817054625736,0.6758214774498017,0.8906397911836692,1.613136861109332
frac_samples_under_0p5m,744,0.5554202114729578,0.260514513833711,0,0.38275935310553616,0.5947228990215416,0.7595991091314032,1
frac_samples_under_0p574m,744,0.6545561410678546,0.24685155229227573,0,0.5021461153069618,0.702729044834308,0.8372495372978193,1
cueEcc_mean_deg,744,49.20229177297918,17.83242718982838,8.164088574398296,37.01393425276786,48.70740038554371,60.67142106814686,132.17555053270044
cueEcc_onset_deg,744,69.77659249430486,39.34003262831753,3.605543860663872,38.600977122426954,62.92655007711084,99.1540519335722,179.70880594133988
cueEcc_median_deg,744,41.9933217697954,20.73852933653006,5.747746581722875,26.513479489802336,38.63132232952083,53.11839344436214,134.2268986578679
cueEcc_min_deg,744,6.102264202715634,7.729095396251532,0.021162369628837028,1.7191569808885132,3.450467259327106,8.501670035384182,129.46315672061573
cueEcc_max_deg,744,128.18717973885285,34.42960104077172,15.481015132531953,103.2838010526154,133.39053461302765,155.88986397632266,179.70880594133988
frac_time_cue_within_55deg,744,0.6474196798568972,0.1962811860722644,0,0.5162671221231943,0.6484067895528989,0.8039667850377419,1
srcEcc_mean_deg,744,59.4527686049441,18.487481875750337,12.149793272175799,46.356683389339864,58.70338719862724,70.81474619257648,147.38577518550787
srcEcc_onset_deg,744,66.81230171936562,39.0665632399078,1.6916775112097495,36.15298996035315,59.62596910555412,94.19764435351009,179.18988474782054
srcEcc_median_deg,744,52.971083880496785,22.47932945540992,6.9984584163755805,36.40228074063735,50.48558781393908,65.85505017527942,147.45887801095967
srcEcc_min_deg,744,8.74660230562297,10.521027258791053,0.09808766685207748,2.5068098524137294,5.484503593971662,11.340064589351009,144.57435596650396
srcEcc_max_deg,744,140.56510953561397,29.365460464720773,34.30398652705578,125.40366458778063,145.91285710990343,164.20885550086803,179.89278831606353
frac_time_src_within_55deg,744,0.5428852444796776,0.20015717779545186,0,0.40873930225437344,0.5452111134088533,0.6843548298308623,1
