"model","response","predictor","n","df","logLik","AIC","BIC","R2_marginal","R2_conditional","ICC_intercept","resid_sd","dAIC_within_response","dBIC_within_response"
"A0_metric_resp_nominal","signedError_m","stimDisp_cm",744,9,264.236319504453,-510.472639008906,-468.964269695408,0.0817270830562808,0.210797453197731,0.118060837492764,0.164122261588169,3.06954461848363e-12,3.06954461848363e-12
"A1_metric_resp_ang_onset","signedError_m","angDisp_onset_cm",744,9,232.630372666189,-447.260745332377,-405.752376018879,0.026705566910395,0.144523629167936,0.109603652050214,0.172125089709518,63.2118936765316,63.2118936765316
"A2_metric_resp_ang_timemean","signedError_m","angDisp_mean_cm",744,9,263.019150281068,-508.038300562137,-466.529931248639,0.0889453430430279,0.244490399797204,0.141557242561508,0.163282511798847,2.4343384467719,2.4343384467719
"B0_ang_resp_nominal","angResp_onset_deg","stimDisp_cm",744,8,-3436.60463640215,6889.20927280431,6926.10560108297,0.0249221642439329,0.0532270436890355,0.0233210094233564,24.3203963615966,79.1280638809858,79.1280638809858
"B1_ang_resp_ang_onset","angResp_onset_deg","angDisp_onset_cm",744,8,-3397.04060446166,6810.08120892332,6846.97753720199,0.0989815642533104,0.183346465660709,0.0175326712185803,22.6815907291722,0,0
"B2_ang_resp_ang_timemean","angResp_onset_deg","angDisp_mean_cm",744,8,-3415.653208556,6847.30641711201,6884.20274539067,0.0705977617286559,0.122800863857202,0.0197129082321865,23.4300992973447,37.2252081886845,37.2252081886845
"B2m_angmean_resp_ang_timemean","angResp_mean_deg","angDisp_mean_cm",744,8,-3277.81529171044,6571.63058342088,6608.52691169954,0.140255708502201,0.339057006339116,0.161073398906923,18.7260951934272,0,0
"A0pub_published_uncentred","signedError_m","stimulusDisparity_m",744,9,264.236319504454,-510.472639008909,-468.964269695411,0.0817270791976513,0.21079748516014,0.0684546531121545,0.16412226086477,0,0
