"contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"Drum - Flute",-1.20388944912745,1.7069962179619,688.382023077343,-5.59994632582694,3.19216742757203,-0.705267789383189,0.895011389550748
"Drum - Speech",0.025017621361971,1.70570370642915,688.78701684963,-4.36770431257189,4.41773955529583,0.0146670381659337,0.999998865590904
"Drum - Pink Noise",2.50685397340729,1.7055265273047,689.06394912156,-1.88540735497753,6.8991153017921,1.46984167837539,0.456375633941435
"Flute - Speech",1.22890707048942,1.70864001440842,694.53463068824,-3.17128779145896,5.62910193243781,0.719231119560844,0.889448120577258
"Flute - Pink Noise",3.71074342253474,1.70690546462826,688.412804491821,-0.68507925493148,8.10656610000096,2.17395954224266,0.131541475099662
"Speech - Pink Noise",2.48183635204532,1.70760935799741,692.787696525828,-1.91573117387727,6.8794038779679,1.45339819111548,0.466482228822843
