"participantId","min_dist_m","frac_under_0p5","frac_under_nf"
"P001",0.0713696717037236,0.134560906515581,0.196339071693179
"P002",0.0143880837546853,0.540883143049026,0.643049026192075
"P003",0.0958631716773668,0.255435866746459,0.361759425493716
"P004",0.0606425309789359,0.510167850225952,0.616365397030342
"P005",0.0498195050983723,0.480040481277409,0.604183065332284
"P006",0.057487780649841,0.356684755796744,0.473482979773064
"P007",0.0100627333629983,0.53749241044323,0.635094110503947
"P008",0.0289419306092745,0.457415128052412,0.562477665276951
"P009",0.0133731651341187,0.636566332218506,0.697212931995541
"P010",0.0727036521056104,0.420909795812872,0.54652364952184
"P011",0.0499072757206714,0.451126697507835,0.592747351141621
"P012",0.0441817500890486,0.235462251133452,0.322195939286418
"P013",0.0162637678253408,0.585820895522388,0.67516583747927
"P014",0.0375651770196308,0.686704576225291,0.784321689683184
"P015",0.0483321011669231,0.636945695992412,0.741048138487076
"P016",0.0202491015518271,0.671386828500787,0.76848730051697
"P017",0.0439358394165683,0.642244224422442,0.767216721672167
"P018",0.00399846061874161,0.724400456794823,0.824704986676818
"P019",0.019938111811789,0.621602288984263,0.743347639484979
"P020",0.0391135484880524,0.568523790158601,0.696217974786499
"P021",0.0174136944068184,0.745605920444033,0.82886216466235
"P022",0.0277152643926938,0.547714158899245,0.649652315431277
"P023",0.0158662499005103,0.475607560756076,0.58028802880288
"P024",0.00889794744081745,0.651555555555556,0.732148148148148
"P025",0.0184061722966865,0.663495442751647,0.736078770540882
"P026",0.0218447035767981,0.475681950087057,0.570110272780035
"P027",0.0194726896088021,0.57004593175853,0.676837270341207
"P028",0.0259262291857471,0.315817466226997,0.43069886182321
"P029",0.0156527903036431,0.562014068863384,0.662162162162162
"P030",0.0138031602578728,0.345840903704874,0.481633620349159
"P031",0.0140349049839565,0.642991898790367,0.728997891465986
