"model","term","est_per_0.1","se_per_0.1","ci_lo_per_0.1","ci_hi_per_0.1","df","t","p"
"signed error (cm)","frac_within",0.73221580130572,0.376816981031182,-0.00633191027850817,1.47076351288995,708.007513086845,1.94316030902315,0.0523927920293579
"signed error (cm)","frac_between",1.48932789482032,1.1232945192267,-0.712288906895252,3.69094469653589,29.0319815502399,1.32585699416178,0.195225195646151
"bias proportion (%)","frac_within",1.1958347466965,1.18097725886468,-1.1188381472391,3.5105076406321,709.000000148288,1.01258067225283,0.311605923378085
"bias proportion (%)","frac_between",4.2637112588659,3.19457902688714,-1.9975485795999,10.5249710973317,28.9999996988281,1.33467077288758,0.192369002412292
