"model","term","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F."
"sound type","stimulusDisparity_m",1.12992581927974,1.12992581927974,1,30.5048863853623,41.9483460302248,3.43122429508441e-07
"sound type","soundType",0.135107861132029,0.0450359537106762,3,690.707810413523,1.67195380247251,0.171698302980184
"spatial configuration","stimulusDisparity_m",2.08866072237025,2.08866072237025,1,709.371804097836,75.0633014026257,3.06581184451194e-17
"spatial configuration","azimuthSector",0.0640457246582304,0.0213485748860768,3,720.744560966186,0.767235431789787,0.51259146613322
"spatial configuration","elevationCategory",0.00057152576052251,0.000285762880261255,2,727.803326246453,0.0102698848984869,0.989782813736515
"spatial configuration","soundType",0.1532820655199,0.0510940218399667,3,704.20373328026,1.83624172186922,0.139166996946402
