model,n,b_source,se_source,ci_lo_source,ci_hi_source,t_source,df_source,p_source,beta_std_source,b_cue,se_cue,ci_lo_cue,ci_hi_cue,p_cue,beta_std_cue,R2m_full,R2m_no_source,dR2m_source,chisq_source,p_lrt_source
cue on the opposite side of the head from the source (vertical),202,0.49374436379905745,0.04608804462214565,0.40341345622177704,0.5840752713763379,10.713068168698344,198.99999999583736,1.9487604893569097e-21,0.4927665068056853,0.4860696036082479,0.04005068126318206,0.4075717107761179,0.5645674964403778,9.912223695810322e-26,0.5582334653980869,0.5774366800216604,0.33646045621095666,0.24097622381070372,91.98168285035486,8.748249032556612e-22
cue on the same side (vertical),542,0.41410257546549856,0.04938079575113679,0.31731799426534196,0.5108871566656552,8.385903247741114,527.7626009628358,4.613648342623408e-16,0.3776650848639606,0.3952566245619277,0.036610830974792605,0.3235007144072508,0.46701253471660464,1.1151969103405358e-24,0.48545537113897774,0.6978537489474168,0.6586745211186723,0.0391792278287445,66.4623684034988,3.566375492708712e-16
large vertical cue displacement,367,0.448301358523981,0.04421277802268929,0.361645905943046,0.534956811104916,10.139633349750607,363.995414684723,1.9148827694855747e-21,0.39001314184378433,0.38948783996074987,0.02886081121020311,0.3329216894241419,0.44605399049735783,7.014399717512184e-34,0.5177030820309632,0.6734695646221381,0.5816247162481377,0.09184484837400042,91.30454091658758,1.2317764060119746e-21
small vertical cue displacement,377,0.25435673369114137,0.07780005831606564,0.10187142139653682,0.4068420459857459,3.2693643063583275,357.89186139710006,0.001182449088102169,0.2529825661756309,0.5590003864334477,0.0742677849794177,0.4134382026622243,0.7045625702046712,4.134511222430158e-13,0.5850446186610693,0.6908334507625891,0.683348135680639,0.00748531508195005,10.604560892942857,0.0011280904506970751
