"seed","glmmTMB_D","glmmTMB_p","glmer_D","glmer_p"
1,0.0460967741935484,0.0846865323120894,0.0689677419354839,0.00168734605098073
7,0.0411075268817204,0.161726642908084,0.0686881720430108,0.00178679188823434
42,0.0400645161290323,0.183395156090031,0.0702795698924731,0.00128575508197321
999,0.0408817204301075,0.166236297450914,0.0690322580645161,0.00166513951144175
20260805,0.0473333333333333,0.0713127965613485,0.0660967741935484,0.003004624256298
