"subset","optimizer","logLik_REML","est","se","df","p","sd_int","sd_slope","cor_int_slope","singular","dLogLik"
"full","bobyqa",248.818897592042,0.346596424221462,0.0535140827879593,30.5049826213203,3.43137773426327e-07,0.0444904980573573,0.190145346221888,-0.555897982895043,FALSE,0
"full","bobyqa",248.818897592042,0.346596424221462,0.0535140827879593,30.5049826213203,3.43137773426327e-07,NA,NA,-0.555897982895043,FALSE,0
"full","Nelder_Mead",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,0.0444904683473525,0.190145342451763,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","Nelder_Mead",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,NA,NA,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","nlminbwrap",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,0.0444904683473525,0.190145342451763,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","nlminbwrap",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,NA,NA,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","nloptwrap.NLOPT_LN_NELDERMEAD",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,0.0444904683473525,0.190145342451763,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","nloptwrap.NLOPT_LN_NELDERMEAD",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,NA,NA,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","nloptwrap.NLOPT_LN_BOBYQA",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,0.0444904683473525,0.190145342451763,-0.555897943165047,FALSE,-2.8421709430404e-14
"full","nloptwrap.NLOPT_LN_BOBYQA",248.818897592041,0.346596423664192,0.0535140824337653,30.5049898097573,3.4313736673796e-07,NA,NA,-0.555897943165047,FALSE,-2.8421709430404e-14
"rt_ge_3","bobyqa",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,0.0402894937753489,0.184793712599881,-0.497379855632433,FALSE,0
"rt_ge_3","bobyqa",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,NA,NA,-0.497379855632433,FALSE,0
"rt_ge_3","Nelder_Mead",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,0.0402894937753489,0.184793712599881,-0.497379855632433,FALSE,0
"rt_ge_3","Nelder_Mead",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,NA,NA,-0.497379855632433,FALSE,0
"rt_ge_3","nlminbwrap",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,0.0402894937753489,0.184793712599881,-0.497379855632433,FALSE,0
"rt_ge_3","nlminbwrap",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,NA,NA,-0.497379855632433,FALSE,0
"rt_ge_3","nloptwrap.NLOPT_LN_NELDERMEAD",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,0.0402894937753489,0.184793712599881,-0.497379855632433,FALSE,0
"rt_ge_3","nloptwrap.NLOPT_LN_NELDERMEAD",263.350752331955,0.352016156511693,0.0522475665573836,30.3853038829116,1.69830600855532e-07,NA,NA,-0.497379855632433,FALSE,0
