"model","term","estimate","se","z","p","ci_lo","ci_hi"
"B1 angular (per 10 deg, centred)","(Intercept)",-0.693704640652279,0.171200726571207,-4.05199589128934,5.07825571355688e-05,-1.02925806473184,-0.358151216572714
"B1 angular (per 10 deg, centred)","ang10c",0.0683419130144715,0.0650065307754409,1.05130841777348,0.293116962202508,-0.0590708873053925,0.195754713334336
"B2 nominal (per 10 cm, centred)","(Intercept)",-0.69020974860529,0.162440988269981,-4.24898762286612,2.14738782002706e-05,-1.00859408561445,-0.371825411596127
"B2 nominal (per 10 cm, centred)","disp10c",-0.00474311392377182,0.0644008958902418,-0.0736498127581251,0.94128903388513,-0.130968869868646,0.121482642021102
"B0 disparity-free","(Intercept)",-0.688489829332616,0.160770390806527,-4.2824417225007,1.84853555704804e-05,-1.00359979531341,-0.373379863351822
