"comparison","chisq","df","p","logLik_reduced","logLik_full"
"signed error LMM (ML)",2.33842373357743,5,0.800607322803213,258.351469558708,259.520681425497
"unsigned accuracy Gamma, glmer (bobyqa)",2.12886170503862,5,0.831042584350868,-2903.05031528795,-2901.98588443543
"unsigned accuracy Gamma, glmer (Nelder_Mead)",2.15187398742364,5,0.827756313086556,-2903.04800446804,-2901.97206747433
"unsigned accuracy Gamma, glmer (nloptwrap)",2.15506615339655,5,0.827299264470233,-2903.05015017746,-2901.97261710077
"unsigned accuracy Gamma, glmer (package default)",2.15187471204445,5,0.82775620936921,-2903.04800454144,-2901.97206718542
"unsigned accuracy Gamma, glmmTMB",2.06745368030624,5,0.83973502780429,-2913.57491317205,-2912.54118633189
