"test","se","mde_80pct","mde_in_units"
"quadratic term on signed error",0.277117157035038,0.776482274012177,"5.87 cm mid-range departure"
"slope of bias ratio on disparity",0.129454216761922,0.362730715366904,"19.95 pp across the range"
