"cut_abs_z","n","edf","slope","quad_b","quad_se","quad_p","best_c","max_LRT"
Inf,744,1.12794636738318,0.346891182242034,-0.293403996364874,0.277117157035038,0.290095151749225,0.28,2.43119661242724
4,740,1.0002821889026,0.362854209482249,-0.185900431030472,0.257285120861774,0.470216122255839,0.2,1.60900437458565
3,730,1.71890193623409,0.32810582201165,-0.398573879213215,0.232904951274051,0.0874950453828833,0.6,3.89542295043464
