"true_shape","slope","sigma","inv_sigma","inv_sigma_sq","re_sd"
0.75,0.489496986769554,1.15648886018706,0.864686236440058,0.747682287488873,0.262536845135974
2,0.507516673859018,0.714446195080382,1.39968552829579,1.95911957812066,0.224862695389223
4,0.497772962957781,0.491635327519509,2.03402795532491,4.13726972304325,0.221017384730643
8,0.507255733410233,0.353868353053295,2.82590966773848,7.98576545021779,0.253777326253356
